Genus,Species,Brain mass (g),Body mass (g)
Leiothrix,lutea,0.822,17.395
Leiothrix,lutea,0.625,16.275
Leiothrix,lutea,0.846,22.236
Leiothrix,lutea,1.07,16.4
Cyanocorax,luxuosus,2.4,44.5
Cyanocorax,luxuosus,2.4,60
Dendrocopos,macei,1.656,36.467
Dicrurus,macrocercus,0.99,30.6
Pucrasia,macrolopha,3.211,595
Pucrasia,macrolopha,3.338,1200
Pucrasia,macrolopha,3.58,940.5
Zenaida,macroura,1.073,102.483
Euplectes,macroura,1.8,17
Vidua,macroura,0.58,10.3
Vidua,macroura,0.521,15.746
Actitis,macularius,0.642,34.49
Margaroperdix,madagascariensis,1.34,118.2
Hypsipetes,madagascariensis,1.1,45.6
Carduelis,magellanica,0.472,14.858
Carduelis,magellanica,0.607,16.125
Sturnella,magna,2.3,135
Lonchura,maja,0.511,11.706
Parus,major,0.7,14.4
Parus,major,0.842,18.319
Parus,major,0.805,18.016
Parus,major,0.834,16.55
Parus,major,0.75,19.7
Parus,major,0.75,19.48
Parus,major,0.833,20.343
Parus,major,0.833,20.343
Parus,major,0.801,21.232
Parus,major,0.853,20.015
Parus,major,0.752,17.298
Parus,major,0.792,20.648
Parus,major,0.773,19.112
Parus,major,0.787,17.273
Parus,major,0.787,17.273
Parus,major,0.78,15.3
Parus,major,0.65,17.518
Parus,major,0.761,17.372
Parus,major,0.706,17.624
Parus,major,0.84,14.6
Parus,major,0.704,17.484
Parus,major,0.827,17.946
Parus,major,0.738,18.15
Parus,major,0.79,17.2
Parus,major,0.77,15
Parus,major,0.97,17
Parus,major,0.8,15.3
Parus,major,0.905,19.99
Parus,major,0.905,19.99
Parus,major,0.94,18.785
Parus,major,0.84,18.052
Parus,major,0.834,18.558
Parus,major,0.847,18.451
Parus,major,0.813,18.058
Parus,major,0.881,18.122
Parus,major,0.803,18.281
Parus,major,0.9,14.95
Parus,major,0.9,17.1
Parus,major,0.742,18.857
Parus,major,0.846,17.215
Parus,major,0.782,17.604
Parus,major,0.742,17.512
Parus,major,0.775,17.798
Parus,major,0.742,17.849
Parus,major,0.94,19.9
Parus,major,0.799,18.307
Parus,major,0.92,18.9
Parus,major,0.816,17.385
Parus,major,0.892,18.602
Parus,major,0.892,18.602
Parus,major,1,19
Parus,major,0.721,16.884
Parus,major,0.939,14.611
Parus,major,0.8,19.4
Parus,major,0.801,18.625
Parus,major,0.713,19.05
Parus,major,1.01,18.5
Parus,major,0.76,17.2
Parus,major,0.9,14.6
Parus,major,0.78,17.45
Parus,major,0.97,15.5
Dendrocopos,major,2.256,78.87
Dendrocopos,major,2.489,78.578
Dendrocopos,major,2.721,88.334
Dendrocopos,major,2.503,60.261
Dendrocopos,major,2.617,88.079
Dendrocopos,major,2.98,91.4
Dendrocopos,major,2.8,82.4
Dendrocopos,major,2.8,89.1
Dendrocopos,major,2.81,89.609
Dendrocopos,major,2.682,85.192
Dendrocopos,major,2.658,77.418
Dendrocopos,major,2.67,84.2
Dendrocopos,major,2.52,79.6
Dendrocopos,major,2.98,75.951
Dendrocopos,major,2.758,78.809
Dendrocopos,major,3,83
Dendrocopos,major,2.795,88.079
Dendrocopos,major,2.706,79.826
Dendrocopos,major,2.774,80.927
Dendrocopos,major,2.87,82.7
Dendrocopos,major,2.665,85.159
Dendrocopos,major,2.59,86.9
Dendrocopos,major,2.71,70.9
Dendrocopos,major,2.65,83.9
Pogoniulus,makawai,0.436,11.494
Copsychus,malabaricus,0.918,24.13
Copsychus,malabaricus,0.67,28.861
Copsychus,malabaricus,0.707,19.749
Copsychus,malabaricus,0.9,19.6
Lonchura,malacca,0.487,9.205
Lonchura,malacca,0.489,9.397
Lonchura,malacca,0.56,10.8
Halcyon,malimbica,1.3,81.8
Orthopsittaca,manilata,7.88,250
Orthopsittaca,manilata,8.842,291.5
Crossoptilon,mantchuricum,5.164,1700
Primolius,maracana,9.12,252
Aythya,marila,4.7859,787
Larus,marinus,6.227,1060
Larus,marinus,7.452,1540
Larus,marinus,6.12,1710
Larus,marinus,7.461,1500
Larus,marinus,7.695,1960
Larus,marinus,7.762,1620
Calidris,maritima,1.27,93.4
Calidris,maritima,1.04,55.55
Brachyramphus,marmoratus,2.117,195
Brachyramphus,marmoratus,2.333,228.6
Brachyramphus,marmoratus,2.29,182.18
Dryocopus,martius,7.34,279.6
Gallinago,media,1.758,138.621
Dendrocopos,medius,1.79,56.062
Luscinia,megarhynchos,0.662,15.128
Emberiza,melanocephala,0.731,26.661
Sylvia,melanocephala,0.58,10.6
Sylvia,melanocephala,0.58,10.6
Sylvia,melanocephala,0.53,12.32
Sylvia,melanocephala,0.52,10.75
Sylvia,melanocephala,0.53,12.32
Sylvia,melanocephala,0.53,11.7
Sylvia,melanocephala,0.53,11.7
Sylvia,melanocephala,0.45,9.888
Sylvia,melanocephala,0.59,10.7
Pheucticus,melanocephalus,1.45,30.146
Pheucticus,melanocephalus,1.45,30.146
Pionites,melanocephalus,4.759,128.571
Pionites,melanocephalus,4.649,121.354
Pionites,melanocephalus,4.467,121.709
Pionites,melanocephalus,5.486,124.733
Pionites,melanocephalus,4.846,131.41
Colaptes,melanochloros,2.7,119.1
Colaptes,melanochloros,2.7,119.1
Estrilda,melanotis,0.38,4.9
Calidris,melanotos,0.976,66.881
Calidris,melanotos,1,98.058
Numida,meleagris,4.2,1620
Melospiza,melodia,1.1,21
Melospiza,melodia,0.88,21.5
Serinus,mennelli,0.82,15.9
Serinus,mennelli,0.75,14.2
Serinus,mennelli,0.546,14.004
Pionus,menstruus,6.024,192.361
Mergus,merganser,6.5,1280
Mergus,merganser,6.15,1290
Mergus,merganser,7.396,1080
Mergus,merganser,7.098,1880
Mergus,merganser,7.098,1880
Mergus,merganser,6.941,1800
Mergus,merganser,6.75,1089
Mergus,merganser,8.2,1720
Mergus,merganser,7.12,1780
Lanius,meridionalis,1.38,55.2
Turdus,merula,1.75,113.55
Turdus,merula,1.825,99.548
Turdus,merula,1.779,99.529
Turdus,merula,1.786,100.689
Turdus,merula,1.907,109.012
Turdus,merula,1.77,112.1
Turdus,merula,1.696,98.013
Turdus,merula,1.991,117.614
Turdus,merula,1.935,101.284
Turdus,merula,1.75,99.1
Turdus,merula,1.95,107.2
Turdus,merula,1.691,91.846
Turdus,merula,1.883,116.322
Turdus,merula,1.11,100.263
Turdus,merula,1.78,94.1
Turdus,merula,1.741,95.634
Turdus,merula,1.718,105.911
Turdus,merula,2.046,96.61
Turdus,merula,1.778,99.494
Turdus,merula,1.635,102.011
Turdus,merula,1.93,103.538
Turdus,merula,1.72,98.366
Turdus,merula,1.814,104.573
Turdus,merula,1.748,105.875
Turdus,merula,1.946,100.209
Turdus,merula,1.64,87.954
Turdus,merula,1.713,97.919
Turdus,merula,1.784,108.641
Turdus,merula,1.581,98.115
Turdus,merula,1.739,98.891
Turdus,merula,1.965,109.228
Turdus,merula,1.68,98.504
Turdus,merula,1.572,90.064
Turdus,merula,1.65,119.7
Turdus,merula,1.86,106.691
Turdus,merula,1.693,123.8
Turdus,merula,1.805,105.881
Turdus,merula,1.77,114
Turdus,merula,1.6,98.3
Turdus,merula,1.8,110.3
Turdus,merula,1.861,99.228
Turdus,merula,2.2,96.5
Turdus,merula,1.683,93.588
Turdus,merula,1.808,122.485
Turdus,merula,1.435,95.297
Turdus,merula,1.924,105.927
Turdus,merula,1.694,96.258
Turdus,merula,1.75,92.7
Turdus,merula,1.55,80.6
Turdus,merula,1.68,117.8
Turdus,merula,2.12,109
Turdus,merula,1.98,105.7
Turdus,merula,1.926,100.651
Turdus,merula,1.997,101.248
Turdus,merula,1.806,90.611
Turdus,merula,1.912,88.314
Turdus,merula,1.616,96.391
Turdus,merula,1.794,122.248
Turdus,merula,1.7,101.1
Turdus,merula,1.68,102.2
Turdus,merula,1.8,115.8
Turdus,merula,1.8,105.7
Turdus,merula,1.89,58.4
Turdus,merula,1.834,119.952
Turdus,merula,1.757,103.11
Turdus,merula,1.78,95.1
Turdus,merula,1.8,109.3
Turdus,merula,1.75,98.9
Turdus,merula,2.1,97
Turdus,merula,1.98,94.2
Turdus,merula,1.65,96.5
Turdus,merula,1.715,104.893
Turdus,merula,2.021,109.559
Turdus,merula,1.728,94.479
Turdus,merula,1.82,92
Turdus,merula,1.954,119.484
Turdus,merula,1.763,98.703
Turdus,merula,1.95,109.519
Turdus,merula,1.935,95.057
Turdus,merula,1.999,138.746
Turdus,merula,1.653,85.488
Turdus,merula,1.709,109.04
Turdus,merula,2.007,108.287
Turdus,merula,1.597,105.433
Turdus,merula,1.838,83.37
Turdus,merula,1.846,98.717
Turdus,merula,1.895,110.625
Turdus,merula,1.901,100.781
Turdus,merula,1.854,95.567
Turdus,merula,1.679,90.381
Turdus,merula,1.76,92.8
Turdus,merula,1.745,103.943
Turdus,merula,1.98,96.4
Turdus,merula,1.7,76.8
Turdus,merula,2.05,126.201
Turdus,merula,1.786,78.01
Turdus,merula,1.952,125.937
Turdus,merula,1.913,102.61
Turdus,merula,1.702,106.661
Turdus,merula,1.827,111.386
Turdus,merula,1.792,76.131
Turdus,merula,1.85,101
Turdus,merula,1.86,96.394
Turdus,merula,1.617,159.082
Turdus,merula,1.78,131.7
Turdus,merula,2.1,97.1
Turdus,merula,1.75,121.7
Turdus,merula,1.7,103
Turdus,merula,1.53,88.1
Turdus,merula,2.12,54.5
Turdus,merula,1.77,97.5
Turdus,merula,1.7,101.2
Turdus,merula,1.7,97.3
Turdus,merula,1.75,61.92
Turdus,merula,1.87,100.38
Turdus,merula,1.6,88
Carpodacus,mexicanus,0.718,19.53
Poicephalus,meyeri,3.4,82.25
Poicephalus,meyeri,4.1,73.65
Poicephalus,meyeri,4.33,114
Poicephalus,meyeri,4.15,101.9
Turdus,migratorius,1.72,91.5
Turdus,migratorius,1.602,58.193
Turdus,migratorius,1.636,106.751
Turdus,migratorius,2.09,69.3
Garrulax,milnei,1.61,58.35
Milvus,milvus,7.3,895
Lymnocryptes,minimus,0.915,64.128
Lymnocryptes,minimus,0.88,58
Lymnocryptes,minimus,0.91,53.1
Scolopax,minor,1.925,202.157
Phoeniconaias,minor,6.99,1483
Phoeniconaias,minor,6.3,875
Phoeniconaias,minor,7.441,2000
Phoeniconaias,minor,6.793,870
Phoeniconaias,minor,8.05,1598
Phoeniconaias,minor,7.11,1350
Phoeniconaias,minor,6.67,795.7
Sporophila,minuta,0.5,6.18
Larus,minutus,1.414,80.731
Prunella,modularis,0.561,20.154
Prunella,modularis,0.647,20.039
Prunella,modularis,0.584,20.035
Prunella,modularis,0.696,20.822
Prunella,modularis,0.719,19.171
Prunella,modularis,0.615,24.921
Prunella,modularis,0.628,18.254
Prunella,modularis,0.6,21.5
Prunella,modularis,0.71,20.507
Prunella,modularis,0.667,20.728
Prunella,modularis,0.6,16.6
Prunella,modularis,0.57,23.45
Prunella,modularis,0.691,17.053
Prunella,modularis,0.66,19.6
Prunella,modularis,0.756,19.205
Prunella,modularis,0.7,19.09
Prunella,modularis,0.621,19.306
Prunella,modularis,0.721,22.993
Prunella,modularis,0.74,21.425
Prunella,modularis,0.583,20.424
Prunella,modularis,0.669,22.986
Prunella,modularis,0.62,17.9
Prunella,modularis,0.617,17.243
Prunella,modularis,0.728,21.773
Prunella,modularis,0.656,20.583
Prunella,modularis,0.757,19.676
Prunella,modularis,0.63,19.9
Prunella,modularis,0.773,18.377
Prunella,modularis,0.64,20.7
Prunella,modularis,0.741,21.375
Prunella,modularis,0.8,21.8
Prunella,modularis,0.75,23.1
Prunella,modularis,0.643,20.06
Oenanthe,moesta,0.686,30.429
Batis,molitor,0.33,13.25
Somateria,mollissima,7.002,2000
Somateria,mollissima,7.741,1970
Somateria,mollissima,7.147,2200
Somateria,mollissima,8.04,1740
Somateria,mollissima,0.9,2300
Somateria,mollissima,7.684,1940
Somateria,mollissima,8.032,1710
Somateria,mollissima,6.996,2250
Somateria,mollissima,7.5,2280
Somateria,mollissima,8.6,2380
Somateria,mollissima,6.839,2300
Somateria,mollissima,8.695,1800
Somateria,mollissima,8.577,2390
Somateria,mollissima,8.5,1540
Somateria,mollissima,7.35,1970
Somateria,mollissima,8.28,2180
Somateria,mollissima,7.8,2200
Somateria,mollissima,6.9,2305
Somateria,mollissima,7.77,2320
Somateria,mollissima,7.5,2340
Somateria,mollissima,9.35,2370
Somateria,mollissima,7.43,2400
Somateria,mollissima,7.18,2440
Somateria,mollissima,8.1,2510
Somateria,mollissima,8.7,2720
Lonchura,molucca,0.39,10.554
Lonchura,molucca,0.368,9.941
Lonchura,molucca,0.45,7.35
Lonchura,molucca,0.424,8.941
Pitta,moluccensis,1.55,59
Cacatua,moluccensis,15.85,776.9
Cacatua,moluccensis,17.094,830
Cacatua,moluccensis,13.749,701
Cacatua,moluccensis,7,335
Myiopsitta,monachus,3.21,72
Corvus,monedula,4.5,168
Corvus,monedula,4.028,200.193
Corvus,monedula,4.17,141.6
Corvus,monedula,4.861,213.991
Corvus,monedula,4.467,225.45
Corvus,monedula,3.442,210.813
Corvus,monedula,4.2,140.2
Corvus,monedula,4.256,210.824
Corvus,monedula,5.38,240.4
Corvus,monedula,4.73,256.4
Corvus,monedula,4.73,204.7
Corvus,monedula,4.45,240.1
Corvus,monedula,5.75,242.4
Corvus,monedula,4.24,259.5
Corvus,monedula,4.221,217.236
Corvus,monedula,5.35,147
Melanocorypha,mongolica,0.925,49.675
Melanocorypha,mongolica,1.249,54.862
Eremopsaltria,mongolicus,0.666,17.45
Cerorhinca,monocerata,4.442,520
Cerorhinca,monocerata,4.326,550
Brachypteryx,montana,0.692,15.49
Prunella,montanella,0.616,13.046
Passer,montanus,0.736,18.732
Passer,montanus,0.765,22.831
Passer,montanus,0.57,22.79
Passer,montanus,0.7,23.137
Passer,montanus,0.726,18.489
Passer,montanus,0.637,23.125
Passer,montanus,0.714,25.26
Passer,montanus,0.592,22.479
Passer,montanus,0.598,20.644
Passer,montanus,0.762,22.341
Passer,montanus,0.704,21.26
Passer,montanus,0.728,22.804
Passer,montanus,0.811,25.232
Passer,montanus,0.766,23.712
Passer,montanus,0.772,19.963
Passer,montanus,0.95,22.9
Passer,montanus,0.9,24.2
Passer,montanus,0.66,17.249
Passer,montanus,0.68,20.6
Passer,montanus,0.69,23.3
Passer,montanus,0.82,24.2
Passer,montanus,0.626,20.205
Passer,montanus,0.757,22.725
Passer,montanus,0.895,25.274
Passer,montanus,0.695,25.907
Passer,montanus,0.788,23.695
Passer,montanus,0.785,22.719
Passer,montanus,0.8,22.776
Passer,montanus,0.8,22.776
Passer,montanus,0.664,22.676
Passer,montanus,0.794,22.043
Passer,montanus,0.74,22.841
Passer,montanus,0.8,24.25
Passer,montanus,0.742,22.617
Passer,montanus,0.778,23.434
Passer,montanus,0.773,20.994
Passer,montanus,0.957,24.872
Passer,montanus,0.71,16.88
Passer,montanus,0.7,22.3
Fringilla,montifringilla,0.671,24.203
Fringilla,montifringilla,0.715,23.995
Fringilla,montifringilla,0.85,20.1
Fringilla,montifringilla,0.82,27.557
Fringilla,montifringilla,0.66,26.65
Fringilla,montifringilla,0.781,25.361
Fringilla,montifringilla,0.75,22.2
Fringilla,montifringilla,0.772,24.847
Fringilla,montifringilla,0.706,24.199
Fringilla,montifringilla,0.71,24.3
Fringilla,montifringilla,0.75,30.8
Fringilla,montifringilla,0.8,26.7
Fringilla,montifringilla,0.75,26.3
Fringilla,montifringilla,0.896,31.305
Fringilla,montifringilla,0.664,24.69
Fringilla,montifringilla,0.637,27.416
Fringilla,montifringilla,0.754,25.631
Fringilla,montifringilla,0.755,26.411
Fringilla,montifringilla,0.83,23.7
Fringilla,montifringilla,0.71,20.68
Fringilla,montifringilla,0.83,23.8
Fringilla,montifringilla,0.734,29.064
Fringilla,montifringilla,0.723,26.111
Fringilla,montifringilla,0.471,25.86
Serinus,mozambicus,0.49,6.18
Serinus,mozambicus,0.54,7.2
Serinus,mozambicus,0.563,19.162
Hylocichla,mustelina,1.168,33.678
Lagopus,muta,2.178,519
Lagopus,muta,2.331,457.482
Locustella,naevia,0.6,14.8
Zoothera,naevia,1.758,104
Zoothera,naevia,1.661,90.649
Lonchura,nana,0.45,5.8
Polyplectron,napoleonis,2.432,299.5
Tringa,nebularia,1.91,151.9
Tringa,nebularia,1.22,169.3
Tringa,nebularia,1.76,131.5
Sturnella,neglecta,1.74,113.552
Lonchura,nevermanni,0.5,9.9
Melanitta,nigra,6.238,926
Melanitta,nigra,5.401,1200
Melanitta,nigra,5.707,870
Melanitta,nigra,5.015,880
Melanitta,nigra,5.963,1010
Melanitta,nigra,6.361,1267
Melanitta,nigra,5.76,727
Coracopsis,nigra,4.85,113.7
Sporophila,nigricollis,0.532,8.981
Yuhina,nigrimenta,0.45,9.7
Carpodacus,nipalensis,0.794,17.739
Pyrrhula,nipalensis,0.974,30.833
Pyrrhula,nipalensis,0.974,30.833
Accipiter,nisus,3.252,207.19
Accipiter,nisus,3.252,207.19
Accipiter,nisus,2.9,267
Accipiter,nisus,2.7,270.9
Accipiter,nisus,3.115,282.32
Accipiter,nisus,3.11,293.5
Accipiter,nisus,3.212,204.36
Accipiter,nisus,3.15,241.1
Accipiter,nisus,2.96,289.2
Accipiter,nisus,2.955,258.15
Accipiter,nisus,3.162,295.99
Accipiter,nisus,3.3,263.5
Accipiter,nisus,3.2,265
Accipiter,nisus,3.15,180.9
Accipiter,nisus,3.444,273.55
Accipiter,nisus,3.444,273.55
Accipiter,nisus,3.127,192.78
Accipiter,nisus,3.15,269.5
Accipiter,nisus,3.1,265.4
Accipiter,nisus,3.1,198.5
Accipiter,nisus,2.93,234.8
Accipiter,nisus,3.2,213.8
Accipiter,nisus,3.2,234.9
Accipiter,nisus,3.1,194.9
Accipiter,nisus,3,265
Accipiter,nisus,3.05,233.4
Accipiter,nisus,2.962,249.91
Accipiter,nisus,2.964,252.45
Accipiter,nisus,3.243,221.55
Accipiter,nisus,3,272.7
Accipiter,nisus,3.2,208.5
Accipiter,nisus,2.962,302.61
Accipiter,nisus,3.113,294.05
Accipiter,nisus,3.046,294.16
Accipiter,nisus,3.229,265.97
Accipiter,nisus,3.271,277.96
Accipiter,nisus,2.902,210.77
Accipiter,nisus,3.2,246
Accipiter,nisus,3.13,189.5
Accipiter,nisus,3.073,202
Accipiter,nisus,3.17,250.6
Accipiter,nisus,2.93,241
Accipiter,nisus,3.165,224.48
Accipiter,nisus,3.2,191.5
Accipiter,nisus,2.97,273.2
Accipiter,nisus,3.33,322.1
Accipiter,nisus,2.934,248.78
Accipiter,nisus,3.099,283.76
Accipiter,nisus,2.965,203.16
Accipiter,nisus,3.226,271.26
Accipiter,nisus,2.78,296.6
Accipiter,nisus,3.14,278.5
Accipiter,nisus,3,278
Accipiter,nisus,3.43,287.1
Accipiter,nisus,2.924,265.14
Accipiter,nisus,3.6,287.6
Accipiter,nisus,3.6,287.6
Accipiter,nisus,3.25,245.5
Accipiter,nisus,3.242,284.56
Accipiter,nisus,3.1,256.55
Accipiter,nisus,3.199,254.61
Accipiter,nisus,2.841,281.6
Accipiter,nisus,3.012,276.29
Accipiter,nisus,3.07,248.1
Accipiter,nisus,3.1,264
Accipiter,nisus,3.15,216.2
Accipiter,nisus,3.225,261
Accipiter,nisus,3.17,208.7
Accipiter,nisus,3.088,287.66
Accipiter,nisus,3.019,238.75
Accipiter,nisus,2.937,196.11
Accipiter,nisus,3.077,183.76
Accipiter,nisus,2.89,332.4
Accipiter,nisus,3.14,268.5
Accipiter,nisus,2.77,252.1
Accipiter,nisus,2.85,202.9
Accipiter,nisus,3.43,291.6
Accipiter,nisus,2.76,250.2
Accipiter,nisus,3.57,262
Accipiter,nisus,2.72,119.9
Accipiter,nisus,2.456,129.93
Accipiter,nisus,2.548,148.66
Accipiter,nisus,2.75,137.8
Accipiter,nisus,2.8,146.7
Accipiter,nisus,2.61,135.88
Accipiter,nisus,2.43,134.4
Accipiter,nisus,2.85,154.2
Accipiter,nisus,2.635,154.98
Accipiter,nisus,2.635,154.98
Accipiter,nisus,2.45,157.5
Accipiter,nisus,2.458,108.12
Accipiter,nisus,2.52,130
Accipiter,nisus,2.631,144.74
Accipiter,nisus,2.5,156.2
Accipiter,nisus,2.7,103.3
Accipiter,nisus,2.683,143.18
Accipiter,nisus,2.579,109.24
Accipiter,nisus,2.54,144.53
Accipiter,nisus,2.64,144.8
Accipiter,nisus,2.85,105.55
Accipiter,nisus,2.834,140.67
Accipiter,nisus,2.745,139.07
Accipiter,nisus,2.7,144.2
Accipiter,nisus,2.7,148.7
Accipiter,nisus,2.57,120.5
Accipiter,nisus,2.388,146.06
Accipiter,nisus,2.69,135.2
Accipiter,nisus,2.78,154
Accipiter,nisus,2.606,112.57
Accipiter,nisus,2.47,118.3
Accipiter,nisus,2.57,140
Accipiter,nisus,2.61,109.55
Accipiter,nisus,2.8,106.7
Accipiter,nisus,2.439,145.3
Accipiter,nisus,2.807,140.13
Accipiter,nisus,2.768,151.77
Accipiter,nisus,2.711,119.9
Accipiter,nisus,2.43,158.7
Accipiter,nisus,2.68,126.8
Accipiter,nisus,2.85,159.2
Mandingoa,nitidula,0.58,9.02
Mandingoa,nitidula,0.457,10.799
Plectrophenax,nivalis,0.903,24.138
Plectrophenax,nivalis,0.875,24.41
Cossypha,niveicapilla,0.95,31.8
Hypargos,niveoguttatus,0.62,8.55
Hypargos,niveoguttatus,0.5,8.68
Hypargos,niveoguttatus,0.39,8.7
Hypargos,niveoguttatus,0.44,8.86
Hypargos,niveoguttatus,0.5,8.9
Hypargos,niveoguttatus,0.56,8.97
Hypargos,niveoguttatus,0.62,9.02
Hypargos,niveoguttatus,0.55,9.1
Hypargos,niveoguttatus,0.56,9.15
Hypargos,niveoguttatus,0.5,9.18
Hypargos,niveoguttatus,0.5,9.19
Hypargos,niveoguttatus,0.51,9.22
Hypargos,niveoguttatus,0.5,9.3
Hypargos,niveoguttatus,0.45,9.5
Hypargos,niveoguttatus,0.58,9.66
Hypargos,niveoguttatus,0.5,9.67
Hypargos,niveoguttatus,0.57,9.84
Hypargos,niveoguttatus,0.49,9.88
Hypargos,niveoguttatus,0.52,9.93
Hypargos,niveoguttatus,0.48,9.98
Hypargos,niveoguttatus,0.74,10.08
Hypargos,niveoguttatus,0.58,10.1
Hypargos,niveoguttatus,0.46,10.35
Hypargos,niveoguttatus,0.5,10.4
Hypargos,niveoguttatus,0.57,10.43
Hypargos,niveoguttatus,0.52,10.45
Hypargos,niveoguttatus,0.55,10.45
Hypargos,niveoguttatus,0.57,10.74
Hypargos,niveoguttatus,0.51,11.2
Hypargos,niveoguttatus,0.56,11.22
Hypargos,niveoguttatus,0.64,8.2
Hypargos,niveoguttatus,0.55,9.83
Hypargos,niveoguttatus,0.45,10.1
Hypargos,niveoguttatus,0.47,10.12
Hypargos,niveoguttatus,0.49,10.2
Hypargos,niveoguttatus,0.57,8.75
Hypargos,niveoguttatus,0.51,10.2
Hypargos,niveoguttatus,0.6,10.8
Hypargos,niveoguttatus,0.5,8.37
Hypargos,niveoguttatus,0.45,8.4
Hypargos,niveoguttatus,0.65,8.67
Hypargos,niveoguttatus,0.48,8.75
Hypargos,niveoguttatus,0.49,8.83
Hypargos,niveoguttatus,0.58,8.85
Hypargos,niveoguttatus,0.63,9.05
Hypargos,niveoguttatus,0.57,9.25
Hypargos,niveoguttatus,0.63,9.3
Hypargos,niveoguttatus,0.53,9.4
Hypargos,niveoguttatus,0.66,9.42
Hypargos,niveoguttatus,0.69,9.54
Hypargos,niveoguttatus,0.6,9.56
Hypargos,niveoguttatus,0.56,9.75
Hypargos,niveoguttatus,0.6,9.75
Hypargos,niveoguttatus,0.65,9.83
Hypargos,niveoguttatus,0.52,9.88
Hypargos,niveoguttatus,0.53,9.98
Hypargos,niveoguttatus,0.57,9.98
Hypargos,niveoguttatus,0.5,10.05
Hypargos,niveoguttatus,0.61,10.05
Hypargos,niveoguttatus,0.57,10.15
Hypargos,niveoguttatus,0.49,10.2
Hypargos,niveoguttatus,0.67,10.31
Hypargos,niveoguttatus,0.64,10.4
Hypargos,niveoguttatus,0.46,11.38
Hypargos,niveoguttatus,0.65,11.5
Hypargos,niveoguttatus,0.56,8.49
Hypargos,niveoguttatus,0.48,9.48
Hypargos,niveoguttatus,0.7,9.87
Hypargos,niveoguttatus,0.54,10.06
Hypargos,niveoguttatus,0.5,10.3
Hypargos,niveoguttatus,0.6,10.6
Hypargos,niveoguttatus,0.6,10.83
Hypargos,niveoguttatus,0.6,11.1
Hypargos,niveoguttatus,0.55,10.43
Hypargos,niveoguttatus,0.55,10.96
Diopsittaca,nobilis,5.078,118.873
Athene,noctua,4.046,126.9
Athene,noctua,3.935,143.47
Athene,noctua,4.28,223.4
Dacelo,novaeguineae,4.347,332
Dacelo,novaeguineae,4.26,347
Dacelo,novaeguineae,4.329,383.094
Dacelo,novaeguineae,3.872,366.58
Dacelo,novaeguineae,4.47,210
Cyanoramphus,novaezelandiae,2.86,65.4
Lophura,nycthemera,3.922,890
Lophura,nycthemera,4.083,995
Lophura,nycthemera,3.76,915
Lophura,nycthemera,4.097,1010
Lophura,nycthemera,3.377,970
Nycticorax,nycticorax,7,420
Pitta,nympha,1.2,51.2
Aythya,nyroca,4.512,391.25
Aythya,nyroca,4.419,271.8
Vidua,obtusa,0.6,12.5
Vidua,obtusa,0.75,15.4
Pelecanus,occidentalis,17.45,3290
Amazona,ochrocephala,7.64,281
Amazona,ochrocephala,8.582,495
Amazona,ochrocephala,9.247,419
Amazona,ochrocephala,8.666,467.44
Amazona,ochrocephala,8.35,368
Amazona,ochrocephala,7.55,266
Amazona,ochrocephala,9.8,270
Amazona,ochrocephala,9.26,279
Amazona,ochrocephala,9.46,281
Amazona,ochrocephala,8.9,282.2
Amazona,ochrocephala,9.85,292
Amazona,ochrocephala,8.65,300.2
Amazona,ochrocephala,10.35,302.5
Amazona,ochrocephala,8.45,330
Amazona,ochrocephala,9.45,339
Amazona,ochrocephala,9.33,434.02
Amazona,ochrocephala,6.42,204.5
Amazona,ochrocephala,9.1,248.5
Amazona,ochrocephala,8.5,434.5
Phoenicurus,ochruros,0.6,17.3
Phoenicurus,ochruros,0.62,17.957
Phoenicurus,ochruros,0.466,17.059
Phoenicurus,ochruros,0.48,15.275
Phoenicurus,ochruros,0.62,17.4
Burhinus,oedicnemus,2.358,252.751
Burhinus,oedicnemus,3.193,376.088
Oenanthe,oenanthe,0.592,23.156
Oenanthe,oenanthe,0.688,25.825
Oenanthe,oenanthe,0.724,25.146
Oenanthe,oenanthe,0.906,24.378
Oenanthe,oenanthe,0.58,23.786
Oenanthe,oenanthe,0.7,27.1
Oenanthe,oenanthe,0.633,26.457
Oenanthe,oenanthe,0.752,23.701
Oenanthe,oenanthe,0.78,31.8
Oenanthe,oenanthe,0.8,26.8
Oenanthe,oenanthe,0.743,19.854
Oenanthe,oenanthe,0.707,23.471
Oenanthe,oenanthe,0.6,24
Oenanthe,oenanthe,0.63,25.8
Oenanthe,oenanthe,0.688,21.197
Columba,oenas,2.252,254.614
Columba,oenas,2.04,190.204
Columba,oenas,2.266,340.261
Linurgus,olivaceus,0.767,19.129
Sicalis,olivascens,0.63,14.9
Cygnus,olor,15.77,9000
Cygnus,olor,13.89,7000
Cygnus,olor,16.845,13000
Cygnus,olor,15.223,7000
Cygnus,olor,14.5,5528.25
Megalaima,oorti,1.35,46.58
Bolborhynchus,orbygnesius,1.77,34.3
Anthreptes,orientalis,0.5,8.2
Oriolus,oriolus,1.309,70.475
Poospiza,ornata,0.439,13.212
Poospiza,ornata,0.54,8.37
Padda,oryzivora,0.719,20.388
Padda,oryzivora,0.76,22.72
Padda,oryzivora,0.805,23.756
Padda,oryzivora,0.707,20.604
Padda,oryzivora,0.9,19.6
Padda,oryzivora,0.7,20.5
