Genus,Species,Brain mass (g),Body mass (g)
Glauconycteris,beatrix,0.144,5.5
Mormopterus,beccarii,0.233,14.2
Myotis,bechsteini,0.25,7
Myotis,bechsteini,0.28,8
Otospermophilus,beecheyi,5.12,587.5
Oryx,beisa,280,107000
Urocitellus,beldingi,3.28,262.9
Hipposideros,bicolor,0.24,8.4
Wallabia,bicolor,32.7,16400
Ratufa,bicolor,11.01,1320
Diceros,bicornis,655,763000
Diceros,bicornis,926,764000
Tonatia,bidens,0.788,29.4
Saccopteryx,bilineata,0.22,8
Uroderma,bilobatum,0.53,16.4
Bison,bison,334,54800
Pontoporia,blainvillei,220,34900
Sphaerias,blanfordi,0.832,29.5
Hesperoptenus,blanfordi,0.158,7.3
Myotis,bocagei,0.21,7.6
Saimiri,boliviensis,24.1,750
Mus,booduga,0.31,14.6
Balaenoptera,borealis,4900,20000000
Lasiurus,borealis,0.17,7.7
Thomomys,bottae,1.41,140.7
Peromyscus,boylii,0.71,27.47
Platyrrhinus,brachycephalus,0.583,12.9
Lampronycteris,brachyotis,0.335,11.25
Cynopterus,brachyotis,0.88,29
Chrysocyon,brachyurus,134.3,24000
Setonix,brachyurus,17.5,3500
Dinomys,branickii,26.95,14000
Gerbilliscus,brantsii,1.56,91.7
Pteronura,brasiliensis,162.6,48000
Eptesicus,brasiliensis,0.19833,9.03
Sylvilagus,brasiliensis,4.5,439
Blarina,brevicauda,0.6,14
Blarina,brevicauda,0.3443,16.3
Blarina,brevicauda,0.352,18.8
Blarina,brevicauda,0.17,18
Kogia,breviceps,1012,305000
Geomys,breviceps,1.7,138.8
Cormura,brevirostris,0.219,8.2
Geomys,bursarius,2.83,108
Geomys,bursarius,1.35,175
Geomys,bursarius,2.04,202.1
Alcelaphus,buselaphus,269,99500
Alcelaphus,buselaphus,254,90000
Alcelaphus,buselaphus,250,155000
Alcelaphus,buselaphus,310,160000
Alcelaphus,buselaphus,357,165000
Alcelaphus,buselaphus,329,170000
Tragelaphus,buxtoni,330,280000
Syncerus,caffer,640,600000
Syncerus,caffer,378,300000
Syncerus,caffer,642,571880
Syncerus,caffer,640,600000
Syncerus,caffer,560,757000
Syncerus,caffer,653,759000
Syncerus,caffer,570,1000000
Hipposideros,caffer,0.32,10.7
Acomys,cahirinus,0.76,44
Hipposideros,calcaratus,0.369,11.35
Zalophus,californianus,363,100000
Lepus,californicus,13.23,2314.9
Microtus,californicus,0.78,43.3
Peromyscus,californicus,0.91,43.53
Giraffa,camelopardalis,420,300000
Giraffa,camelopardalis,509,450000
Giraffa,camelopardalis,544,480000
Giraffa,camelopardalis,680,529000
Giraffa,camelopardalis,712,600000
Giraffa,camelopardalis,655,600000
Giraffa,camelopardalis,426,810000
Giraffa,camelopardalis,700,1198000
Giraffa,camelopardalis,700,1220000
Raphicerus,campestris,51,11000
Raphicerus,campestris,57,11000
Raphicerus,campestris,44,12000
Raphicerus,campestris,54,12000
Raphicerus,campestris,48,6000
Raphicerus,campestris,49.5,8620
Raphicerus,campestris,48.5,10000
Raphicerus,campestris,52.5,10000
Raphicerus,campestris,56.5,10000
Raphicerus,campestris,47,10200
Raphicerus,campestris,48,11000
Dipodillus,campestris,0.9,27.5
Saccostomus,campestris,0.82,49.35
Lynx,canadensis,69.5,14969
Lynx,canadensis,75,12000
Lynx,canadensis,69.2,15000
Lontra,canadensis,63.8,10000
Cervus,canadensis,435,200000
Castor,canadensis,36.5,17600
Castor,canadensis,40,20000
Castor,canadensis,52.21,27670
Procyon,cancrivorus,61.5,4819.5
Procyon,cancrivorus,86.5,22000
Saccopteryx,canescens,0.13,3.4
Callosciurus,caniceps,6.02,240
Rhinolophus,capensis,0.256,12.8
Procavia,capensis,19.4,2275
Procavia,capensis,19,2760
Procavia,capensis,20,1930
Procavia,capensis,20.5,3800
Lepus,capensis,10.23,2930
Lepus,capensis,11.33,1895
Capreolus,capreolus,94.5,12706
Capreolus,capreolus,90,13154
