Genus,Species,Brain mass (g),Body mass (g)
Tamiasciurus,hudsonicus,4.2,179
Tamiasciurus,hudsonicus,5.02,248
Tamiasciurus,hudsonicus,4.09,63
Tamiasciurus,hudsonicus,4.05,140
Tamiasciurus,hudsonicus,4.43,152.5
Tamiasciurus,hudsonicus,4.02,173.5
Tamiasciurus,hudsonicus,3.97,183
Tamiasciurus,hudsonicus,4.71,183
Tamiasciurus,hudsonicus,4.103,159
Tamiasciurus,hudsonicus,3.83,188.9
Zapus,hudsonius,0.6961,19.3
Zapus,hudsonius,0.522,15.2
Zapus,hudsonius,0.43,17.9
Conepatus,humboldtii,16.7,2500
Meriones,hurrianae,0.97,71.3
Murina,huttoni,0.258,8.8
Hyaena,hyaena,112.7,55000
Hydrochoerus,hydrochaeris,51,7800
Hydrochoerus,hydrochaeris,75,28500
Hydrochoerus,hydrochaeris,76,29500
Ochotona,hyperborea,2.22,120
Pteropus,hypomelanus,5.302,390
Herpestes,ichneumon,35.2,8000
Tragelaphus,imberbis,214,140000
Hypsugo,imbricatus,0.137,6.3
Xerus,inauris,7.65,400
Acrocodia,indica,265,201000
Acrocodia,indica,250,225000
Tatera,indica,1.84,139.7
Ratufa,indica,11.6,1010
Ratufa,indica,11.4,1935
Indri,indri,38.3,6250
Dobsonia,inermis,2.7,149.5
Miniopterus,inflatus,0.3265,15.05
Platyrrhinus,infuscus,1.11,50.2
Geocapromys,ingrahami,4.46,717.3
Napaeozapus,insignis,0.48,23.2
Elephantulus,intufi,1.14,49
Ia,io,0.761,53.3
Otomys,irroratus,1.38,141
Callithrix,jacchus,8.5,298
Callithrix,jacchus,6.95,95
Callithrix,jacchus,8,320
Callithrix,jacchus,7.2,169
Callithrix,jacchus,7.6,187
Callithrix,jacchus,9,221
Callithrix,jacchus,6.7,225
Callithrix,jacchus,7.2,235
Callithrix,jacchus,9,242
Callithrix,jacchus,7.6,280
Callithrix,jacchus,7.3,1550
Jaculus,jaculus,1.21,55.4
Jaculus,jaculus,1.85,73
Artibeus,jamaicensis,0.93,37.5
Nycteris,javanica,0.475,17.7
Tragulus,javanicus,15.85,2037
Pipistrellus,javanicus,0.119,4.5
Chaerephon,jobensis,0.36,16.5
Okapia,johnstoni,475,240000
Acinonyx,jubatus,114.3,65000
Mormopterus,jugularis,0.22,11.5
Cercopithecus,kandti,71.6,7350
Madoqua,kirki,31.5,4800
Madoqua,kirki,34.2,3700
Madoqua,kirki,29,4200
Madoqua,kirki,34.5,4500
Madoqua,kirki,31.5,4800
Madoqua,kirki,32,5400
Madoqua,kirki,37,5500
Madoqua,kirki,37,6000
Madoqua,kirki,35,4300
Madoqua,kirki,35,5100
Madoqua,kirkii,37,4570
Kobus,kob,204,110000
Kobus,kob,204,125000
Pipistrellus,kuhlii,0.166,6.3
Scotophilus,kuhlii,0.34233,19.6
Epomophorus,labiatus,1.58867,64.1
Vulpes,lagopus,44.5,3385
Vulpes,lagopus,47.8,8000
Lagothrix,lagotricha,86.2,5260
Lagothrix,lagotricha,92.5,2550
Lagurus,lagurus,0.42,20.1
Micropotamogale,lamottei,0.8,64.2
Rhinolophus,landeri,0.276,9.65
Avahi,laniger,10.49,1285
Chinchilla,laniger,5.25,432
Hipposideros,lankadiva,0.733,48.5
Hylobates,lar,102,5500
Hylobates,lar,102,5700
Hipposideros,larvatus,0.4165,19.85
Nasalis,larvatus,97,14000
Callospermophilus,lateralis,3.01,166.1
Rhinosciurus,laticaudatus,4.28,240
Canis,latrans,84.24,8510
Canis,latrans,109.9,22000
Kobus,leche,223,120000
Kobus,leche,225,120000
Kobus,leche,220,125000
Hipposideros,lekaguli,0.584,30.3
Lemmus,lemmus,0.86,68.9
Panthera,leo,229.2,124000
Panthera,leo,258,190800
Panthera,leo,259.5,84000
Panthera,leo,299,220000
Macaca,leonina,90,2050
Rhinolophus,lepidus,0.18833,5.6
Dasyprocta,leporina,19.1,1724.5
Dasyprocta,leporina,20,2684
Dasyprocta,leporina,21,2935
Dasyprocta,leporina,22.78,3000
Noctilio,leporinus,1.26,58.5
Spermophilopsis,leptodactylus,6.18,495
Saccopteryx,leptura,0.1605,4.9
Ammotragus,lervia,209.5,56700
Ammotragus,lervia,210,66000
Delphinapterus,leucas,2354,303230
Delphinapterus,leucas,1971,340000
Delphinapterus,leucas,1871,656500
Delphinapterus,leucas,2349,441310
Delphinapterus,leucas,2083,636000
Spalax,leucodon,3,122
Peromyscus,leucopus,0.6,21.21
Peromyscus,leucopus,0.63,25.5
Mops,leucostigma,0.39,26.5
Ammospermophilus,leucurus,2.33,105.9
Cynomys,leucurus,5.69,992.1
Paramelomys,levipes,1.86,83.4
Hexaprotodon,liberiensis,260,150000
Sturnira,lilium,0.52,17.1
Platyrrhinus,lineatus,0.741,22.6
Urocyon,littoralis,37.3,3760
Artibeus,lituratus,1.05,58.7
Oligoryzomys,longicaudatus,0.67,26.6
Microtus,longicaudus,0.7,47.4
Taphozous,longimanus,0.47,23.2
Perognathus,longimembris,0.34,8.3
Stenella,longirostris,450,33600
Glossophaga,longirostris,0.435,11.2
Procyon,lotor,33.55,2226
Procyon,lotor,40.5,4536
Procyon,lotor,36.1,5000
Procyon,lotor,42.7,5216
Procyon,lotor,27.4,4309
Procyon,lotor,40,5175
Procyon,lotor,41.6,5270
Procyon,lotor,74.8,20000
Penthetor,lucasi,0.9475,35
Myotis,lucifugus,0.16133,8
Rhinolophus,luctus,0.5905,33.9
Sturnira,ludovici,0.676,25.9
Cynomys,ludovicianus,6.01,793.5
Cynomys,ludovicianus,4.96,1250
Damaliscus,lunatus,288,135000
Damaliscus,lunatus,259,150000
Damaliscus,lunatus,260,80000
Damaliscus,lunatus,295,135000
Damaliscus,lunatus,228,60000
Damaliscus,lunatus,324,82000
Canis,lupus,92.3,25000
Canis,lupus,115.5,29030
Canis,lupus,152,29940
Canis,lupus,119,22680
Canis,lupus,183.7,78000
Lutra,lutra,74.1,16500
Rattus,lutreolus,1.64,92.7
Enhydra,lutris,114,30000
Pteropus,lylei,6.19,296
Pteropus,lylei,5.92,307
Pteropus,lylei,6.3,324
Pteropus,lylei,5.65,283.5
Pteropus,lylei,6.1,284
Pteropus,lylei,6.33,322
Pteropus,lylei,6.41,383.5
Megaderma,lyra,0.8935,35.3
Eulemur,macaco,25.5,1899
Eulemur,macaco,21.8,2170
Eulemur,macaco,24.5,1290
Eulemur,macaco,22,1940
Eulemur,macaco,24,2148.5
Mesophylla,macconnelli,0.3445,7.55
Notopteris,macdonaldi,1.45275,70.18
Physeter,macrocephalus,7818,37093000
Macrophyllum,macrophyllum,0.321,8.6
Peropteryx,macrotis,0.1566,5.4
Nycteris,macrotis,0.389,14.5
Pteropus,macrotis,6.127,366
Rhinolophus,macrotis,0.208,6.3
Isoodon,macrourus,0.18,8.61
Pogonomys,macrourus,1.43,73.9
Genetta,maculata,19.4,2600
Balionycteris,maculata,0.51067,14.33
Dasyurus,maculatus,5.35,420
Dasyurus,maculatus,4.07,355
Daubentonia,madagascariensis,45.15,2800
Hipposideros,maggietaylorae,0.5425,20.5
Miniopterus,magnater,0.324,15
Pteropus,mahaganus,5.28,465
Cheirogaleus,major,6.8,450
Helarctos,malayanus,385.5,45020
Helarctos,malayanus,265,65000
Rhinolophus,malayanus,0.202,6.4
Trichechus,manatus,340,425000
Trichechus,manatus,364,756000
Peromyscus,maniculatus,0.52,17.2
Peromyscus,maniculatus,0.69,24
Peromyscus,maniculatus,0.57,21.65
Ursus,maritimus,507,317000
Ursus,maritimus,269,69860
Ursus,maritimus,500,250000
Ursus,maritimus,616.6,470000
Antidorcas,marsupialis,132,35000
Antidorcas,marsupialis,143,36000
Antidorcas,marsupialis,146,36000
Antidorcas,marsupialis,118,22000
Antidorcas,marsupialis,129,22500
Antidorcas,marsupialis,123.5,37000
Antidorcas,marsupialis,145,37000
Antidorcas,marsupialis,132,38000
Antidorcas,marsupialis,140,38000
Antidorcas,marsupialis,142,38000
Antidorcas,marsupialis,138,38200
Antidorcas,marsupialis,130,40000
Antidorcas,marsupialis,140,40000
Antidorcas,marsupialis,138,44000
Antidorcas,marsupialis,144,46000
Didelphis,marsupialis,3.9,438
Didelphis,marsupialis,4.8,470
Didelphis,marsupialis,5.2,698
Didelphis,marsupialis,4.8,1147
Didelphis,marsupialis,5.8,1370
Didelphis,marsupialis,6.3,1700
Martes,martes,21.5,2500
Otomops,martiensseni,0.7555,41.75
Macaca,maura,86.1,5110
Macaca,maura,89.2,5110
Macaca,maura,96.5,5110
Macaca,maura,95.1,9450
Macaca,maura,105.5,9450
Macaca,maura,191,4860
Macaca,maura,72,7400
Taphozous,mauritianus,0.5505,29
Elephas,maximus,4048,2047000
Elephas,maximus,4717,3048000
Elephas,maximus,6075,2128000
Elephas,maximus,4550,2267430
Elephas,maximus,5220,3216000
Elephas,maximus,5000,3450400
Elephas,maximus,5045,2547000
Lagostomus,maximus,8.8,3854
Lagostomus,maximus,16.52,4687.5
Philantomba,maxwellii,37.5,3130
Philantomba,maxwellii,35.4,3160
Philantomba,maxwellii,38,3357
Philantomba,maxwellii,41.1,3780
Tamiops,mcclellandii,1.95,39
Cryptomys,mechowi,2.25,102
Cryptomys,mechowi,2.21,104
Cryptomys,mechowi,2.32,106
Cryptomys,mechowi,2.45,129
Cryptomys,mechowi,2.21,142
Cryptomys,mechowi,2.4,147
Cryptomys,mechowi,1.98,179
Cryptomys,mechowi,2.36,187
Cryptomys,mechowi,2.83,189
Cryptomys,mechowi,2.09,255
Cheirogaleus,medius,3.6,181
Cheirogaleus,medius,3.3,181
Cheirogaleus,medius,3.14,177
Microdipodops,megacephalus,0.6,14.1
Mormoops,megalophylla,0.42,15.6
Peromyscus,megalops,1.12,66.2
Otocyon,megalotis,26.09,3335
Otocyon,megalotis,28.5,3200
Otocyon,megalotis,32.7,5000
Micronycteris,megalotis,0.274,6.5
Reithrodontomys,megalotis,0.4,10.7
Rhinolophus,megaphyllus,0.2605,9.8
Rhinolophus,mehelyi,0.31,9.7
Aepyceros,melampus,200,51000
Aepyceros,melampus,215,60000
Aepyceros,melampus,200,62000
Aepyceros,melampus,165,43000
Aepyceros,melampus,172,47000
Aepyceros,melampus,195.5,53500
Aepyceros,melampus,175,57610
Aepyceros,melampus,160,60000
Aepyceros,melampus,161,78000
Aepyceros,melampus,165,38000
Aepyceros,melampus,165,42000
Aepyceros,melampus,150,58000
Aepyceros,melampus,153,65000
Aepyceros,melampus,152,70000
Peromyscus,melanocarpus,1.03,58.8
Chironax,melanocephalus,0.612,17.63
Ailuropoda,melanoleuca,226,37500
Peromyscus,melanophrys,0.94,45
Taphozous,melanopogon,0.536,22.7
Melonycteris,melanops,1.288,47.45
Raphicerus,melanotis,55,10100
Raphicerus,melanotis,59,11200
Peromyscus,melanotis,0.63,39.6
Pteropus,melanotus,10.6,1261.4
Globicephala,melas,2673,1061000
Meles,meles,88.5,22700
Moschiola,meminna,15.5,1845
Moschiola,meminna,18.1,1973
Moschiola,meminna,17,2020
Moschiola,meminna,17.1,2150
Moschiola,meminna,17.1,2368
Moschiola,meminna,16,4600
Mephitis,mephitis,10,2260
Mephitis,mephitis,10.3,1700
Mephitis,mephitis,19.7,4700
Limnogale,mergulus,1.15,92
Peromyscus,merriami,0.56,20.72
Dipodomys,merriami,0.39,35
Dipodomys,merriami,1.05,37.8
Canis,mesomelas,46,2850
Canis,mesomelas,54.8,8000
Canis,mesomelas,71,14000
Peromyscus,mexicanus,0.99,46.55
Peromyscus,mexicanus,1.04,46.55
Rhinopoma,microphyllum,0.4035,27.1
Dipodomys,microps,1.21,59.9
Neotoma,micropus,2.66,378.3
Leopoldamys,milleti,4.22,332.1
Pipistrellus,mimus,0.094,3.9
Macroglossus,minimus,0.607,17.03
Tamias,minimus,1.6,45.3
Platanista,minor,164,18300
Choeroniscus,minor,0.389,9.6
Tupaia,minor,2.58,70
Micronycteris,minuta,0.286,6.9
Sorex,minutus,0.15,3.9
Sorex,minutus,0.11,5.3
Micromys,minutus,0.29,6.4
Mesoplodon,mirus,2355,929000
Cercopithecus,mitis,75,6300
Callicebus,moloch,19,900
Molossus,molossus,0.26,13
Dobsonia,moluccensis,4.43,325
Cercopithecus,mona,67,3001
Pithecia,monachus,35,1500
Marmota,monax,11,3051
Marmota,monax,10.65,4198.5
Eulemur,mongoz,25.8,1305
Eulemur,mongoz,23.1,1565
Eulemur,mongoz,23.2,1808
Monodon,monoceros,2997,1578330
Hypsignathus,monstrosus,3.3,330
Hypsignathus,monstrosus,3.4,347
Microtus,montanus,0.69,39.7
Cephalophus,monticola,43.5,5300
Cephalophus,monticola,39,4500
Emballonura,monticola,0.163,5.4
Sorex,monticolus,0.23,6.3
Myotis,montivagus,0.17,8.3
Mops,mops,0.4725,30.95
Lonchophylla,mordax,0.432,10.7
Chalinolobus,morio,0.1845,8.35
Praomys,morio,0.84,46.5
Rattus,morotaiensis,1.92,134.1
Desmana,moschata,4,440
Neotragus,moschatus,32,3200
Neotragus,moschatus,36,3500
Hylobates,muelleri,85,6011
Hylobates,muelleri,95,6123
Hylobates,muelleri,99.4,6454
Hylobates,muelleri,91,6804
Hylobates,muelleri,84.4,4876
Hylobates,muelleri,108.5,5443
Hylobates,muelleri,101.8,5700
Hylobates,muelleri,97.4,6228
Macaca,mulatta,78,2040
Macaca,mulatta,80,2795
Macaca,mulatta,93.1,3627
Macaca,mulatta,85.2,4880
Macaca,mulatta,100,2041
Macaca,mulatta,90,2722
Macaca,mulatta,91.7,3292
Macaca,mulatta,90.7,5210
Macaca,mulatta,53.7,3300
Macaca,mulatta,84.6,5980
Macaca,mulatta,93,7800
Macaca,mulatta,107,8700
Mungos,mungo,14.7,2500
Muntiacus,muntjak,124,16000
Muntiacus,muntjak,125,16600
Myotis,muricola,0.125,4.95
Vespertilio,murinus,0.445,33.3
Suncus,murinus,0.39,35
Microcebus,murinus,1.78,54
Microcebus,murinus,1.9,62
Balaenoptera,musculus,6700,33682000
Balaenoptera,musculus,6800,58059000
Balaenoptera,musculus,6500,98112000
Balaenoptera,musculus,6917,101605000
Mus,musculus,0.39,16.5
Mus,musculus,0.48,18.2
Mus,musculus,0.5,14.75
Mus,musculus,0.45,16.85
Mus,musculus,0.42,19.5
Mus,musculus,0.42,19.5
Mus,musculus,0.424,18.92
Mus,musculus,0.43,20.85
Mus,musculus,0.43,20.85
Mus,musculus,0.45,24
Mus,musculus,0.475,24.32
Galea,musteloides,2.72,375
Myotis,myotis,0.48,25
Myotis,myotis,0.525,32
Myotis,mystacinus,0.155,4
Myotis,mystacinus,0.16,4
Elephantulus,myurus,1.37,64
Massoutiera,mzabi,2.32,182.6
Micaelamys,namaquensis,0.89,79.4
Nycteris,nana,0.239,6.95
Pipistrellus,nanus,0.1,3.9
Gerbillus,nanus,0.6,14
Tragulus,napu,18.5,2510
Tragulus,napu,18.3,2670
Nasua,narica,44.17,6250
Rhynchonycteris,naso,0.11,4.3
Addax,nasomaculatus,185,107000
Addax,nasomaculatus,218,120000
Nasua,nasua,34,3175
Nasua,nasua,41,3200
Nasua,nasua,52.7,11000
Cephalophus,natalensis,83,12500
Cephalophus,natalensis,66,10500
Mastomys,natalensis,0.72,50
Myotis,nattereri,0.22,7
Ammospermophilus,nelsoni,2.31,70
Pygathrix,nemaeus,77,7500
Macaca,nemestrina,103,2287
Macaca,nemestrina,117,6625
Pteropus,neohibernicus,9.114,840
Ardops,nichollsi,0.61,15
Hippotragus,niger,282,165000
Hippotragus,niger,282,165000
Saguinus,niger,8.4,225
Sciurus,niger,8.85,401
Sciurus,niger,7.7,403
Sciurus,niger,8.95,522.5
Sciurus,niger,8.4,584
Sciurus,niger,9.2,650
Sciurus,niger,9.15,559
Sciurus,niger,9.05,578
Sciurus,niger,7.2,328
Sciurus,niger,6.5,365
Sciurus,niger,6.9,365
Sciurus,niger,8.95,580
Sciurus,niger,9.2,650
Sciurus,niger,8.72,809.9
Macaca,nigra,97.5,3452
Myotis,nigricans,0.12,4.5
Lepus,nigricollis,11.49,1961
Cephalophus,nigrifrons,84,11000
Cephalophus,nigrifrons,86,14000
Cephalophus,nigrifrons,79,15000
Scotophilus,nigrita,1.046,101
Callosciurus,nigrovittatus,4.44,202
Arvicanthis,niloticus,1.33,84.5
Rattus,niobe,1.1,42.1
Megaerops,niphanae,0.958,32.6
Rattus,nitidus,1.7,101
Mustela,nivalis,2.14,200
Leptonycteris,nivalis,0.5855,22.9
Mops,niveiventer,0.432,21.7
Nyctalus,noctula,0.36,25
Rattus,norvegicus,7.3,254
Rattus,norvegicus,2.38,339
Rattus,norvegicus,8.75,465
Callosciurus,notatus,4.91,209.5
Megaptera,novaeangliae,6439,39311330
Dasypus,novemcinctus,9.5,2086
Dasypus,novemcinctus,14.2,3701
Dasypus,novemcinctus,14,4593
Dasypus,novemcinctus,7.5,3401
Dasypus,novemcinctus,12,3700
Dasypus,novemcinctus,7.54,5000
Lagenorhynchus,obliquidens,1079,79000
Lagenorhynchus,obliquidens,1046,70000
Lagenorhynchus,obliquidens,1136,100000
Lagenorhynchus,obliquidens,1286,110000
Lagenorhynchus,obliquidens,1140,90000
Trachypithecus,obscurus,65.5,5800
Microtus,ochrogaster,0.71,43.8
Saguinus,oedipus,10,333
Saguinus,oedipus,9.7,370
Saguinus,oedipus,9.2,370
Saguinus,oedipus,10,411
Saguinus,oedipus,9.4,205
Saguinus,oedipus,9.2,221
Saguinus,oedipus,10,380
Saimiri,oerstedii,25,603
Saimiri,oerstedii,25.3,907
Saimiri,oerstedii,19.9,607
Cebus,olivaceus,69,1490
Cebus,olivaceus,72.5,2684.5
Panthera,onca,147,34470
Orcinus,orca,6052,3273000
Orcinus,orca,5617,2049000
Dipodomys,ordii,1.38,54
Microtus,oregoni,0.52,22
Oreotragus,oreotragus,62,14000
Oreotragus,oreotragus,54,11000
Oreotragus,oreotragus,59.5,11000
Jaculus,orientalis,2.5,98
Tremarctos,ornatus,314,140000
Scotomanes,ornatus,0.384,21.8
Sorex,ornatus,0.12,5
Taurotragus,oryx,534,900000
Taurotragus,oryx,530,550000
Taurotragus,oryx,480,560000
Ourebia,ourebi,55,12500
Ourebia,ourebi,56,14000
Ourebia,ourebi,50,15000
Ourebia,ourebi,62,15000
Ourebia,ourebi,57,15200
Ourebia,ourebi,70,16000
Cuniculus,paca,48,4559
Cuniculus,paca,21.85,3627
Cuniculus,paca,35.8,5635
Eptesicus,pachyotis,0.158,6.6
Tylonycteris,pachypus,0.077,4.6
Gerbillurus,paeba,0.84,24
Alouatta,palliata,54.05,6577
Alouatta,palliata,53.45,7938
Alouatta,palliata,42.3,3119
Alouatta,palliata,50.34,6174
Alouatta,palliata,54,7670
Tamias,palmeri,1.99,60.8
Atilax,paludinosus,31.8,4000
Sorex,palustris,0.31,11.9
Oryzomys,palustris,0.88,47.1
Tamias,panamintinus,1.83,51.2
Ateles,paniscus,101.2,5220
Ateles,paniscus,106.5,5040
Ateles,paniscus,108.3,2035
Ateles,paniscus,108.8,2305
Ateles,paniscus,120,2550
Pan,paniscus,337,34000
Kerivoula,papillosa,0.31,10.1
Papio,papio,177,4080
Papio,papio,174.5,4763
Papio,papio,179,32000
Rhinolophus,paradoxolophus,0.267,9.3
Solenodon,paradoxus,4.67,900
Leopardus,pardalis,62.7,8618
Leopardus,pardalis,63.5,10433
Leopardus,pardalis,75.3,20000
Genetta,pardina,15.4,1032
Panthera,pardus,135,48000
Panthera,pardus,157,46300
Panthera,pardus,196,80000
Macropus,parma,17.4,3760
Pteronotus,parnellii,0.5315,19.1
Urocitellus,parryii,5.74,958
Urocitellus,parryii,5.63,878
Urocitellus,parryii,5.14,744.6
Cryptotis,parva,0.12,5.3
Rhogeessa,parvula,0.111,4.35
Dolichotis,patagonum,30.5,8000
Erythrocebus,patas,91.5,4800
Erythrocebus,patas,94.5,4800
Erythrocebus,patas,97,9740
Erythrocebus,patas,110,9740
Erythrocebus,patas,108,7800
Rhinolophus,pearsoni,0.332,13.9
Tayassu,pecari,139.6,32233
Tayassu,pecari,152,32233
Kerivoula,pellucida,0.203,4.1
Chaetodipus,penicillatus,0.47,16
Martes,pennanti,46.5,7000
Funambulus,pennantii,2.1,85.9
Microtus,pennsylvanicus,0.6464,22.9
Microtus,pennsylvanicus,0.6724,32.5
Microtus,pennsylvanicus,0.6606,23.7
Microtus,pennsylvanicus,0.7166,25.2
Microtus,pennsylvanicus,0.7394,27.9
Microtus,pennsylvanicus,0.77,37.3
Eumops,perotis,0.802,47.5
Triaenops,persicus,0.2705,13.7
Pteronotus,personatus,0.234,7.8
Carollia,perspicillata,0.47,16
Petaurista,petaurista,11.8,1600
Petaurista,petaurista,11.73,2023
Rhynchocyon,petersi,5.4,370
Dermanura,phaeotis,0.448,11.8
Kerivoula,phalaena,0.116,3
Caluromys,philander,3.1,384
Neophocaena,phocaenoides,422,34000
Neophocaena,phocaenoides,468,32400
Phocoena,phocoena,1735,142430
Phocoena,phocoena,477,52300
Phocoena,phocoena,537,55500
Phocoena,phocoena,537,55500
Ototylomys,phyllotis,1.33,63
Balaenoptera,physalus,7111.43,33221430
Lycaon,pictus,138,30000
Liomys,pictus,0.77,46.5
Capromys,pilorides,10.55,3429
Capromys,pilorides,11.1,2782.5
Capromys,pilorides,11.9,4989.5
Microtus,pinetorum,0.56,24.9
Isthmomys,pirrensis,1.71,138
Cynomops,planirostris,0.185,7.25
Mus,platythrix,0.5,29.2
Monophyllus,plethodon,0.4125,14.9
Chaerephon,plicata,0.385,20.5
Glauconycteris,poensis,0.205,8.6
Grammomys,poensis,0.96,50.2
Pteropus,poliocephalus,7.2298,695
Peromyscus,polionotus,0.42,13.32
Surdisorex,polulus,0.4,18.6
Colobus,polykomos,96,6800
Hipposideros,pomona,0.233,6.2
Cavia,porcellus,3.32,214.94
Cavia,porcellus,3.8,324
Cavia,porcellus,3.63,351
Cavia,porcellus,4,432
Cavia,porcellus,3.28,214.57
Cavia,porcellus,4.1,361
Cavia,porcellus,4.23,456
Cavia,porcellus,3.77,248
Cavia,porcellus,3.8,265
Cavia,porcellus,3.65,295
Cavia,porcellus,4.7,301
Cavia,porcellus,4.15,305
Cavia,porcellus,4.28,337
Cavia,porcellus,6.4,348
Cavia,porcellus,4.5,353
Cavia,porcellus,4.6,415
Cavia,porcellus,4.8,451
Cavia,porcellus,4.75,491
Cavia,porcellus,4.57,513
Cavia,porcellus,4.9,544
Cavia,porcellus,4.1,648
Cavia,porcellus,4.35,700
Cavia,porcellus,4.28,971
Axis,porcinus,142,30000
Perodicticus,potto,11.3,1100
Perodicticus,potto,10.9,538
Perodicticus,potto,14,1150
Dobsonia,praedatrix,2.97488,190.52
Myoprocta,pratti,9.9,780
Myoprocta,pratti,10.93,900
Callosciurus,prevostii,6.52,439
Ochotona,princeps,2.39,169
Zapus,princeps,0.5,24.5
Hypsugo,pulveratus,0.143,5.3
Pteromyscus,pulverulentus,3.55,400
Rhinophylla,pumilio,0.356,8.9
Rhabdomys,pumilio,0.69,39.71
Chaerephon,pumilus,0.274,12.09
Chaerephon,pumilus,0.29,13.3
Eptesicus,pumilus,0.122,5.45
Dasyprocta,punctata,18.34,3172
Vampyressa,pusilla,0.394,8.55
Micropteropus,pusillus,0.82,25.2
Rhinolophus,pusillus,0.164,4.7
Miniopterus,pusillus,0.216,8.6
Mustela,putorius,7.87,915
Mustela,putorius,12.9,2100
Damaliscus,pygargus,254.6,62500
Chlorocebus,pygerythrus,67,4600
Cebuella,pygmaea,4.8,129.5
Cebuella,pygmaea,4.5,140
Nycticebus,pygmaeus,7.8,480
Pongo,pygmaeus,322,32659
Pongo,pygmaeus,326,32659
Pongo,pygmaeus,291,34019
Pongo,pygmaeus,267,34474
Pongo,pygmaeus,279,35834
Pongo,pygmaeus,274.5,36287
Pongo,pygmaeus,283,36288
Pongo,pygmaeus,304,36741
Pongo,pygmaeus,344,37195
Pongo,pygmaeus,394.1,38500
Pongo,pygmaeus,360,38500
Pongo,pygmaeus,340.5,39917
Pongo,pygmaeus,287.5,44452
Pongo,pygmaeus,347.5,49895
Pongo,pygmaeus,371,54431
Pongo,pygmaeus,368,63503
Pongo,pygmaeus,326,72575
Pongo,pygmaeus,398.3,74700
Pongo,pygmaeus,287,74700
Pongo,pygmaeus,397.8,74700
Pongo,pygmaeus,422,79379
Pongo,pygmaeus,384,83915
Pongo,pygmaeus,359,86183
Pongo,pygmaeus,395,90720
Pongo,pygmaeus,343,36900
Gerbillus,pyramidum,0.88,40.9
Gerbillus,pyramidum,1.04,65
Galemys,pyrenaicus,1.33,57.5
Funisciurus,pyrropus,4.38,200
Tamias,quadrimaculatus,2.16,82.3
Tamias,quadrivittatus,1.7,62.3
Equus,quagga,612,250000
Equus,quagga,555,297050
Equus,quagga,541,254990
Equus,quagga,643,317500
Emballonura,raffrayana,0.174,5.9
Paranyctimene,raptor,0.731,26.1
Rattus,rattus,1.27,99.5
Rattus,rattus,1.59,200
Redunca,redunca,109,31700
Redunca,redunca,130,50000
Urocitellus,richardsonii,3.17,316
Hipposideros,ridleyi,0.269,9.65
Myotis,riparius,0.173,7.95
Nyctimene,robinsoni,1.23067,47.03
Rhinolophus,robinsoni,0.2785,8.5
Tylonycteris,robustula,0.116,7.6
Eschrichtius,robustus,4316.67,30000000
Leontopithecus,rosalia,12.7,570
Leontopithecus,rosalia,15.1,570
Leontopithecus,rosalia,11.7,502.5
Leontopithecus,rosalia,12.7,407
Odobenus,rosmarus,1126,667000
Desmodus,rotundus,0.936,28
Desmodus,rotundus,0.86,30
Hipposideros,ruber,0.265,7.3
Paramelomys,rubex,1.27,49.7
Eulemur,rubriventer,24.9,1015
Uranomys,ruddi,0.77,33.6
Vulpes,rueppellii,31.6,3000
Aplodontia,rufa,5.86,680
Aplodontia,rufa,7.04,806
Ochotona,rufescens,2.75,250
Melomys,rufescens,1.29,54.7
Lepilemur,ruficaudatus,7.6,915
Eudorcas,rufifrons,89,25000
Eudorcas,rufifrons,102,25000
Eudorcas,rufifrons,101,28000
Dremomys,rufigenis,5.41,240
Heliosciurus,rufobrachium,5.75,326
Myodes,rufocanus,0.61,38.3
Macropus,rufogriseus,39,12425
Lynx,rufus,65,6350
Molossus,rufus,0.48,28.1
Molossus,rufus,0.50533,31.67
Rupicapra,rupicapra,115,25000
Rupicapra,rupicapra,118.5,26500
Rupicapra,rupicapra,120,30000
Crocidura,russula,0.19,9.9
Crocidura,russula,0.19,11
Myodes,rutilus,0.56,17.6
Xerus,rutilus,5.09,317.5
Heliosciurus,ruwenzorii,5.4,291
Chlorocebus,sabaeus,59.85,3062
Chlorocebus,sabaeus,57,2898
Chlorocebus,sabaeus,64,3159
Chlorocebus,sabaeus,71.9,3630
Chlorocebus,sabaeus,80,4082
Chlorocebus,sabaeus,74.8,1440
Chlorocebus,sabaeus,81.5,3000
Glaucomys,sabrinus,3.01,174
Saccolaimus,saccolaimus,0.6705,43
Chiroderma,salvini,0.787,24.3
Liomys,salvini,0.77,44.9
Pteropus,samoensis,5.792,310
Nycticeius,sanborni,0.158,9.1
Homo,sapiens,1100,37000
Homo,sapiens,1240,43000
Homo,sapiens,1350,43000
Homo,sapiens,1300,44000
Homo,sapiens,1140,45000
Homo,sapiens,1160,46000
Homo,sapiens,1084,52000
Homo,sapiens,1270,52000
Homo,sapiens,1138,52000
Homo,sapiens,1351,57000
Homo,sapiens,1200,61000
Homo,sapiens,1180,63000
Homo,sapiens,1280,36300
Homo,sapiens,1270,42000
Homo,sapiens,1375,43400
Homo,sapiens,1190,45000
Homo,sapiens,1400,49900
Homo,sapiens,1480,50000
Homo,sapiens,1310,51000
Homo,sapiens,1500,51000
Homo,sapiens,1570,56000
Homo,sapiens,1248,57200
Homo,sapiens,1490,61000
Homo,sapiens,1310,65800
Homo,sapiens,1411,68000
