YEAR	FOCAL_DEPTH	EQ_PRIMARY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DAMAGE_MILLIONS_DOLLARS	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED
1800			MEXICO		"MEXICO:  MEXICO CITY,OAXACA"	19.2	-99.1	150					
1800			CANARY ISLANDS		CANARY ISLANDS:  PENON DE LA GOMERA	28.1	-17.1	10					
1800		6.5	IRAN		IRAN:  DAMAVAND	36.2	53.3	140					
1801			MEXICO		MEXICO:  OAXACA	17	-96.3	150	7				
1801			SWITZERLAND		SWITZERLAND	46.9	8.6	120					
1802			VENEZUELA		VENEZUELA: CUMANA	10.3	-64.5	160					
1802			ANTIGUA AND BARBUDA		ANTIGUA ISLAND &  ST. CHRISTOPHER	17.2	-62.4	90					
1802			ALGERIA		"ALGERIA:  KOLEA, BLIDA, ALGIERS"	36.5	2.9	15			1100	4	1100
1802			ITALY		ITALY:  SONCINO	45.5	10	130					
1802	150	7.4	ROMANIA		"ROMANIA:  CARPATHIAN FOLD,VRANCEA"	45.7	26.6	110					
1802			INDONESIA		INDONESIA:  BANDA SEA	-3.7	128.2	170					
1802		6.6	JAPAN		"JAPAN:  NW HONSHU:  SADO ISLAND, OGI"	37.7	138.3	30	19		1060	4	
1803			INDIA		INDIA:  MATHURA (MUTTRA)	27.5	77.5	60					
1803		6	CHINA		CHINA:  YUNNAN PROVINCE	25.6	100.6	30	200			2	
1804			SPAIN		SPAIN:  ALMERIA:  DALIAS	36.833	-2.833	130					
1804			SPAIN		"SPAIN: ALMERIA, DALIAS, ROQUETAS"	36.9	-2.4	130	162			3	
1804			GREECE		GREECE:  PATRAI	38.2	21.8	130					
1804			GREECE		GREECE:  ACHAIA:  PATRAI (PATRAS)	38.3	21.8	130					
1804		7.3	JAPAN		JAPAN:  KISAKATA	39.05	139.95	30	450		10810	4	
1805			COLOMBIA		"COLOMBIA:  HONDA,MARIQUITA"	5.3	-74.6	160	200				
1805			VENEZUELA		VENEZUELA:  CUMANA	10.5	-64.2	160					
1805			ITALY		"ITALY:  MOLISE, ROSOLONE, NAPOLI (NAPLES), ISERNIA"	41.2	14.7	130	5600				
1805			IRAN		IRAN:  BABOL	36.3	52.4	140					
1806			USA	CA	CALIFORNIA:  SANTA BARBARA	34.4	-119.7	150					
1806		7.5	MEXICO		"MEXICO:  JALISCO,OAXACA,MICHOACAN"	18.9	-103.8	150					
1806	30	7.5	PERU		PERU:  LIMA	-12.1	-77.1	160					
1806			ITALY		ITALY:  TYRRHENIAN SEA	41.7	12.7	130					
1808			ECUADOR		ECUADOR:  QUITO	-0.217	-78.5	160					
1808			MOROCCO		MOROCCO:  MELILLA	35.3	-2.97	15					
1808		5.7	ITALY		"ITALY:  VALLEY OF PELLICE, CHISONE"	44.833	7.25	130	2				
1808			IRAN		IRAN:  QAZVIN-TALEQAN	36.2	50	140					
1808			IRAN		"IRAN:  DODANGEH, E MAZANDARAN"	36.3	53.3	140					
1808		6.5	JAPAN		"E. AWA, TOKUSHIMA PREFECTURE"	33.9	134.8	30					
1809			SOUTH AFRICA		SOUTH AFRICA:  CAPE OF GOOD HOPE	-33.88	18.45	10					
1809			IRAN		"IRAN:  SARI,AMOL,MAZANDARAN"	36.3	53	140					
1809			USA TERRITORY	GU	GUAM	14	143.3	170					
1810			CUBA		"CUBA:  HAVANA,SANTIAGO DE CUBA"	23.8	-82.2	90					
1810			CANARY ISLANDS		CANARY ISLANDS:  TENERIFE	28.2	-16.6	10					
1810	100		GREECE		GREECE:  CRETE:  IRAKLION (CANDIA)	35.5	25	130	2000			3	
1810		6.6	JAPAN		JAPAN:  OGA	39.9	139.9	30	59		1804	4	
1811		7.5	USA	AR	ARKANSAS: NORTHEAST (NEW MADRID EARTHQUAKES)	35.6	-90.4	150					
1811		7	USA	AR	ARKANSAS: NORTHEAST (NEW MADRID EARTHQUAKES)	35.6	-90.4	150					
1811			CHILE		CHILE:  VALPARAISO	-33.08	-71.67	160					
1811	7	4.2	GEORGIA		GEORGIA:  KAKHETIYA	41.8	45.2	40					
1811		6.5	CHINA		CHINA:  SICHUAN PROVINCE:  E. OF GANZE	31.7	100.3	30	480		598	3	
1811		7	TAIWAN		TAIWAN:  DANSHUI:  OFF WEST COAST	25.2	121.3	30	21				
1811			PHILIPPINES		PHILIPPINES:  CAMARINES	13.1	123.9	170					
1812		7.5	USA	CA	CALIFORNIA:   PURISIMA	34.2	-119.9	150	1				100
1812		6.9	USA	CA	CALIFORNIA:   SAN JUAN CAPISTRANO	34.37	-117.65	150	40				
1812		7.3	USA	MO	MISSOURI:  NEW MADRID	36.3	-89.6	150					
1812		7.5	USA	MO	MISSOURI:  NEW MADRID	36.5	-89.6	150					
1812			JAMAICA		JAMAICA:  KINGSTON	18	-76.8	90					
1812	33	7.7	VENEZUELA		VENEZUELA:  LA GUAIRA	10.6	-66.9	160	26000				
1812			FRANCE		FRANCE:	43.3	5.366	120					
1812			FRANCE		"FRANCE:  BEAUMONT,PIERREVERT,SAINTE TULLE,MANOSQUE"	43.7	5.7	120					
1812			ITALY		ITALY:  ROMA (ROME)	41.9	12.45	130					
1812		8	CHINA		CHINA:  XINJIANG PROVINCE	43.7	83	40					
1812		6.6	JAPAN		JAPAN	35.4	139.6	30					
1813			PERU		PERU:  ICA	-14.1	-75.4	160	32				
1813			IRAN		IRAN:  SHIRAZ	29.6	52.6	140					
1814			FRANCE		"FRANCE:  GAN,OLORON,LOUVIE-JUZON,BENEJACQ,TARBES"	43.2	0.4	120					
1814		6	CHINA		CHINA:  YUNNAN PROVINCE:  SIPING	23.7	102.5	30	900		900	3	
1814		5.3	CHINA		CHINA:  HENAN PROVINCE	35.8	114.4	30	4			2	
1814			INDONESIA		"INDONESIA:  TIMOR ISLAND, KUPANG, KISSAR ISLAND"	-10.217	123.633	170					
1814			PHILIPPINES		PHILIPPINES:  SE LUZON:  ALBAY	13.1	123.9	170					
1815			MEXICO		"MEXICO:  OAXACA,TAMAZULAPAN"	17	-96.3	150					
1815			GREECE		GREECE:  IONIAN ISLANDS:  LEUKAS	38.8	20.5	130					
1815			GREECE		GREECE:  CRETE	35	25.75	130				3	
1815		6.8	CHINA		CHINA:  SHANXI PROVINCE	34.8	111.2	30	13000		20000	4	
1815	150	7	INDONESIA		INDONESIA:  BALI	-8	115	60	10253				
1815		6.5	TAIWAN		TAIWAN:	25.2	121.2	30	111			3	
1815			INDONESIA		INDONESIA:  AMBON ISLAND	-3.7	128.4	170				2	
1816	33	7.5	GUATEMALA		GUATEMALA:  SOLOMA	15.5	-91.5	100	23			3	
1816			INDONESIA		INDONESIA; MALAYSIA:  PENANG ISLAND	5	96.5	170					
1816		6.5	CHINA		CHINA:  SICHUAN PROVINCE	31.4	100.7	30	2854		1104	4	
1817			USA	PA	PENNSYLVANIA:  PHILADELPHIA	39.95	-75.1	150					
1817		8	FRANCE		FRANCE:  CHAMONIX VALLEY	45.9	6.8	120	4				
1817		6.8	GREECE		GREECE:  ACHAIA:  AEGHION	38.25	22.25	130					
1818		7.5	MEXICO		MEXICO	19.1	-103.6	150					
1818			MEXICO		"MEXICO:  MORELOS-GUERRERO,MEXICO CITY,GUADALAJARA"	19.2	-99.1	150					
1818			ITALY		"ITALY:  LIGURIA; FRANCE:  VENCE, GRASSE, NICE"	43.917	8.033	130				3	
1818			ITALY		ITALY:  MADONIE	37.8	14	130	100			3	
1818			ITALY		"ITALY:  ACIREALE, CATANIA, CALABRIA"	37.6	15	130	72			3	
1818			BULGARIA		BULGARIA	42.8	23.3	110					
1818		7	INDONESIA		INDONESIA:  SUMATRA:  BENGKULU	-4	101.5	170					
1818	600	8.5	INDONESIA		INDONESIA:  SUMBAWA ISLAND:  BIMA	-7	117	170				3	
1819		8.5	CHILE		CHILE:  COPIAPO	-27	-71.5	160				3	
1819		8	CHILE		CHILE:  COPIAPO	-27.4	-70.3	160				2	
1819		8	CHILE		CHILE:  COPIAPO	-27.4	-70.3	160				3	
1819			ALGERIA		ALGERIA:  MASCARA	35.07	0.02	15				3	
1819			ITALY		ITALY	42.5	11.8	130					
1819		5.8	NORWAY		NORWAY: RANA REGION: LUROY	66.416	12.85	120					
1819		7.7	INDIA		"INDIA:  RANN OF KUTCH,AHMADABAD,POONAH,BHOOJ"	23	71	60	1543		1547	4	
1819		5.8	CHINA		CHINA: QINGHAI PROVINCE	36.1	102.3	30	126		108	3	108
1820			USA	AK	ALASKA:  EAST ALEUTIAN ISLANDS	54.52	-164.65	150					
1820		7.6	MEXICO		"MEXICO:  GUERRERO, OAXACA, PUEBLA, VERACRUZ"	17.2	-99.6	150					
1820			VENEZUELA		VENEZUELA:  CUMANA	10.5	-64.2	160					
1820		6.2	CONGO		CONGO:  LOANGO	-4.5	11.6	10					
1820			GREECE		GREECE:  LEVKAS	38.8	20.5	130					
1820		6.9	GREECE		GREECE:  ZAKINTHOS (ZANTE)	37.75	21.25	130	8		79	2	
1820			IRAN		IRAN:  SHIRAZ	29.6	52.5	140					
1820			IRAN		IRAN:  MAZANDARAN	36.5	53.5	140					
1820		6	CHINA		CHINA:  HENAN PROVINCE	34.1	113.8	30	430		26040	4	
1820	80	7.5	INDONESIA		INDONESIA:  SULAWESI:  MAKASAR	-7	119	170					
1821			PERU		"PERU:  CAMANA, OCONA, CARAVELI"	-16.107	-72.967	160	162				
1821			UK TERRITORY		UNITED KINGDOM:  BRITIAN	-15.95	-5.7	70					
1821			MOROCCO		MOROCCO:  MELILLA	35.3	-2.97	15					
1821			GREECE		GREECE:  ZAKINTHOS (ZANTE)	37.8	21.2	130					
1821		6.7	ROMANIA		ROMANIA	45.7	26.6	110					
1822		7.6	COSTA RICA		COSTA RICA:  MATINA	10.1	-83.3	90				2	
1822		8.5	CHILE		"CHILE:  VALPARAISO, QUILLOTA, CONCON,  ACONCAGUA"	-33	-72	160	72			3	
1822			CHILE		CHILE	-33.05	-71.63	160					
1822			GRENADA		GRENADA	12.1	-64.1	90					
1822			TURKEY		"TURKEY:  ANTAKYA; SYRIA:  HALAB,DIMASHQ (DAMASCUS);"	36	36	140	8000				
1822			TURKEY		"TURKEY; SYRIA:  DIMASHQ (DAMASCUS), HALAB; CYPRUS"	36	36	140	20000				
1822		5.5	CHINA		CHINA:  GANSU PROVINCE	33	104.6	30	23		70	2	
1823			USA	NY	LAKE ERIE (GREAT LAKES)	42.7	-79	150					
1823			VENEZUELA		"VENEZUELA:  CARIACO,ISLAND OF MARGARITA"	10.5	-63.8	160					
1823			MARTINIQUE		MARTINIQUE: SAINT PIERRE HARBOR	14.4	-61.1	90					
1823			ITALY		"ITALY:  NASO, SICILY"	38.1	14.7	130	22				
1823			CROATIA		BALKANS NW:  CROATIA:  DUBROVNIK	42.7	18.2	130					
1823			GREECE		GREECE:  THESPROTIKON	39.75	20.75	130				3	
1823			IRAN		IRAN:  SHIRAZ	29.6	52.5	140					
1823			IRAN		IRAN:  MAZANDARAN	36.3	53.3	140					
1823	150	6.8	INDONESIA		INDONESIA:  JAVA	-6.5	108.5	170					
1824			JAMAICA		JAMAICA:  KINGSTON	18	-76.5	90					
1824			GUADELOUPE		GUADELOUPE: BASSE TERRE	16.7	-62.2	90					
1824			MARTINIQUE		MARTINIQUE: SAINT PIERRE	14.4	-61	90					
1824			IRAN		"IRAN:  KAZIRUN, SHAHPUR"	29.7	51.6	140				4	
1824		6.4	IRAN		"IRAN:  SHIRAZ, GUYUM"	29.8	52.4	140				2	
1824			PHILIPPINES		"PHILIPPINES:  MANILA,SAN FRANCISCO"	14.25	121.25	170				3	
1824			PHILIPPINES		"PHILIPPINES:  SE LUZON:  TAYABAS,RIZAL,LAGUNA"	13.7	121.7	170					
1825			COLOMBIA		COLOMBIA:  SANTA MARTA	11.1	-74.1	90					
1825			TRINIDAD AND TOBAGO		TRINIDAD:  PORT-OF-SPAIN	10.4	-61.3	90					
1825			ALGERIA		"ALGERIA:  BLIDA, ALGIERS"	36.4	2.8	15	7000			4	
1825		6.8	GREECE		GREECE:  IONIAN ISLANDS:  LEUKAS	38.75	20.75	130	58			3	
1825			IRAN		IRAN:  SHIRAZ	29.6	52.5	140				1	
1825		6.7	IRAN		IRAN:  HARHAZ	36.1	52.6	140				3	
1825			USA TERRITORY	GU	GUAM; NORTHERN MARIANA ISLANDS:  LADRONES ISLAND	14	143.3	170				3	
1826			CUBA		CUBA:  SANTIAGO DE CUBA	20	-75.5	90					
1826		8.2	COLOMBIA		"COLOMBIA:  ENGATIVA,BOGOTA,RAMIRIQUI,UMBITA,TUNJA"	4.6	-73.9	160					
1826			JAPAN		JAPAN:  BONIN ISLANDS [CHICHIJIMA ISLAND]	27.07	142.21	30					
1826		8	NEW ZEALAND		NEW ZEALAND:  FJORDLAND	-45.8	166.5	170					
1827		7	COLOMBIA		"COLOMBIA:  BOGOTA, NEIVA, POPAYAN, PASTO, HUILA"	1.8	-76.4	160	250				
1827			MARTINIQUE		MARTINIQUE	14.4	-61	90					
1827			TURKEY		"TURKEY:  TOKAT, ERBAA"	40.7	36.6	140					
1827			PAKISTAN		"PAKISTAN:  LAHORE, PUNJAB"	31.6	74.3	60	1000				
1827		5.3	CHINA		CHINA:  SHANXI PROVINCE	34.9	111.1	30	84		55	2	
1827			RUSSIA		RUSSIA:  KAMCHATKA	53	158.5	50					
1828	50	8.3	PERU		"PERU:  LIMA, CALLAO"	-12.13	-77.809	160	30				
1828			ITALY		ITALY:  ISLAND OF ISCHIA	40.7	13.9	130	28			1	
1828	10	5.7	AZERBAIJAN		AZERBAIJAN:  SHEMAKHA (SEMACHA)	40.7	48.4	40					
1828			INDIA		INDIA:  KASHMIR	34.2	74.5	60	1000				
1828			INDONESIA		INDONESIA:  SULAWESI	-7	119	170					
1828			PHILIPPINES		PHILIPPINES:  MANILA	14.55	120.9	170					
1828		6.4	JAPAN		JAPAN:  AMAKUSA ISLANDS	32.6	129.9	30					
1828			JAPAN		JAPAN:  SANDYO IN ETIGO	37.5	139.5	30	1443		11750	4	
1829		7	CHILE		CHILE:  VALPARAISO	-33.05	-71.63	160					
1829			SPAIN		"SPAIN:  TORREVIEJA, MURCIA"	38.2	-0.9	130	2000		3000	4	
1829			GREECE		GREECE-BULGARIA	41.2	24.5	130					
1829			GREECE		GREECE:  XANTHI-DRAMA	41.2	24.5	130					
1829			ROMANIA		ROMANIA:  BUCHAREST	44.2	26.1	110					
1829	40	7.5	RUSSIA		RUSSIA:  LAKE BAYKAL	51.4	104.1	40					
1829		5.5	CHINA		CHINA:  ANHUI PROVINCE	33.2	117.9	30				3	
1829		6	CHINA		CHINA:  SHANDONG PROVINCE	36.6	118.5	30	200			2	
1830			MEXICO		MEXICO:  OAXACA	17	-96.3	150					
1830	16	6.3	RUSSIA		RUSSIA:  DAGESTAN	43	47	40	40				
1830			RUSSIA		RUSSIA	43.5	47.5	40	410				
1830			IRAN		"IRAN:  DAMAVAND,TEHRAN,SEMNAN,DAMGHAN"	35.7	52.1	140	500				
1830		6.5	IRAN		"IRAN:  CHAHARDANGEH,SEMNAN,DAMGHAN"	36.4	54.3	140					
1830		7.5	CHINA		CHINA:  HEBEI PROVINCE	36.4	114.2	30	7477		200000	4	
1830			PHILIPPINES		PHILIPPINES:  MANILA	14.55	120.9	170				3	
1830			PHILIPPINES		PHILIPPINES:  MANILA	14.55	120.9	170					
1830			JAPAN		JAPAN:  KYOTO	35	136	30	280				
1831		7.8	CHILE		"CHILE: PERU:  TACNA,ARICA,AREQUIPA"	-18.5	-71	160					
1831		7	TRINIDAD AND TOBAGO		TRINIDAD & ST. CHRISTOPHER	12.4	-61.5	90					
1831			BARBADOS		"BARBADOS, SAINT VINCENT, DOMINICA, ANTIGUA"	13.1	-59.617	90	3000				
1831			ITALY		ITALY:  COAST OF LIGURIA	43.8	7.8	130	4				
1831			ITALY		ITALY:  REGGIO DI CALABRIA	38.1	15.7	130		3			
1831			GREECE		GREECE:  SAMOS (DODECANESE)	37.8	27	130					
1831		6.3	CHINA		CHINA:  ANHUI PROVINCE	32.8	116.8	30	33			1	
1831			NEW ZEALAND		NEW ZEALAND:  NORTH ISLAND:  POVERTY BAY	-38.7	178	170					
1832			ITALY		ITALY:  FOLIGNO	42.9	12.6	130	22				
1832			ITALY		ITALY:  CUTRO	39	17	130					
1832			AFGHANISTAN		AFGHANISTAN	36.5	71	40					
1833			MEXICO		S. MEXICO	16.8	-99.9	150					
1833			CHILE		CHILE	-28.5	-71.3	160					
1833		7.7	PERU		PERU-CHILE:  PERU:  TACNA; CHILE:  ARICA	-18.251	-71.01	160	700		1001	4	
1833		6.4	ALBANIA		"ALBANIA:  VLORE, SAZAN, KANINA, NARTA"	40.4	19.9	130					
1833		7.5	INDIA		INDIA:  LOHUGHAR	29.4	80.1	60					
1833		8	NEPAL		NEPAL:  KATHMANDU; INDIA:  BIHAR	28.3	85.5	60				3	
1833	75	8.3	INDONESIA		INDONESIA:  SUMATRA:  BENGKULU	-2.5	100.5	170				1	
1833		8	CHINA		CHINA:  YUNNAN PROVINCE	25.2	103	30	6700		87620	4	
1833		7.4	JAPAN		JAPAN:  HONSHU:  NW	38.9	139.15	30	35		540	3	1790
1834		7	MEXICO		MEXICO:  ACAPULCO	16.8	-99.9	150					
1834			COLOMBIA		COLOMBIA:  PASTO	1.4	-77.1	160					
1834	5	7	COLOMBIA		"COLOMBIA:  PUTUMAYO,PASTO, POPAYAN, SANTA MARTA"	1.2	-77	160	80				
1834			COLOMBIA		"COLOMBIA:  SANTA MARTA,CARTAGENA"	11	-74.2	160					
1834			VENEZUELA		VENEZUELA:  MERIDA	8.8	-70.9	160					
1834			ITALY		ITALY:  BORGO VAL DI TARO	44.3	9.4	130	60	0.17			
1834	32	6.8	HUNGARY		"HUNGARY:  PISHKOL'T, ERENDREYD, DENGELEG"	47.6	22.3	110					
1834		6.3	JORDAN		"JORDAN:  AL-KARAK; ISRAEL:  JERUSALEM, NABULUS"	31.3	35.6	140					
1834		6	CHINA		CHINA:  TIBET (XIZANG PROVINCE)	28.6	87.1	40				1	
1834		5.5	CHINA		CHINA:  QINGHAI PROVINCE	33	97	30	88				
1834		5	CHINA		CHINA:  YUNNAN PROVINCE	24.9	103	30					
1834			INDONESIA		"INDONESIA:  JAVA:  BOGOR, CINAJUR"	-6.7	107	170					
1834		6.4	JAPAN		"W. HOKKAIDO ISLAND, JAPAN"	43.3	141.4	30			23	1	
1834			USA TERRITORY	GU	GUAM:  AGANA	14	143.3	170				3	
1835		8.2	CHILE		CHILE:  CONCEPCION	-36.83	-73.03	160	50			3	
1835			SWITZERLAND		SWITZERLAND	46.7	7.8	120					
1835			ITALY		"ITALY:  CASTIGLIONE,COSENZA,CRATI"	39.3	16.3	130	100				
1835			TURKEY		TURKEY	38.5	35.5	140	300				
1835			INDONESIA		INDONESIA:  MALUKU:  AMBON	-3.7	128.2	170				2	
1835		7.6	JAPAN		JAPAN:  SANRIKU	37.9	141.9	30				1	
1836			USA	CA	CALIFORNIA	38	-122	150					
1836		7.5	CHILE		CHILE:  COBIJA	-22.6	-70.3	160					
1836			ITALY		ITALY:  BASILICATA	40.1	15.8	130	21				
1836			ITALY		"ITALY:  ROSSANO,CROSIA,CRACO,BASILICATA"	39.6	16.6	130	589				
1836			INDONESIA		FLORES SEA	-8.3	118.7	170					
1836		7.5	INDONESIA		FLORES SEA	-8.3	118.7	170				2	
1837		7.5	MEXICO		MEXICO:  GUADALAJARA	20	-105	150					
1837		6.5	MEXICO		MEXICO: ACAPULCO	16.86	-99.88	150					
1837		7	MEXICO		"MEXICO: MEXICO CITY,  ACAPULCO"	19.45	-99.15	150					
1837		8.5	CHILE		CHILE:  VALDIVIA	-42.5	-74	160				3	
1837			VENEZUELA		"VENEZUELA:  SANTA TERESA DEL TUY,SANTA LUCIA"	10.3	-66.6	160					
1837			USA TERRITORY	VI	VIRGIN ISLANDS	18.2	-64.5	90					
1837			ITALY		ITALY	44.2	10.5	130	5				
1837		6.4	ISRAEL		ISRAEL: ZEFAT (SAFED); LEBANON:  BEIRUT (BEYROUT)	33	35.5	140	5000			4	
1837	100	7.3	INDONESIA		INDONESIA:  BANDA ATJEH	5.5	96	170					
1837		6	CHINA		CHINA:  GANSU PROVINCE	34.6	103.7	30	37		941	3	
1837			INDONESIA		INDONESIA:  SUMBAWA ISLAND:  BIMA	-8.5	118.5	170					
1838		7	USA	CA	"CALIFORNIA:  SAN FRANCISCO,SAN JOSE,SANTA CLARA"	37.6	-122.4	150					
1838			CHILE		CHILE:  CENTRAL	-36.7	-73.1	160					
1838	150	6.9	ROMANIA		"ROMANIA:  CARPATHIAN FOLD,VRANCEA"	45.7	26.6	110					
1838			ISRAEL		"ISRAEL:  TEL AVIV-YAFO (JAFFA),PALESTINE"	32	34.5	140	3000				
1838			MYANMAR (BURMA)		MYANMAR (BURMA):  AVA (INNWA)	21.8	96	60					
1839			EL SALVADOR		EL SALVADOR:  SAN SALVADOR	13.7	-89.2	100				4	
1839			VENEZUELA		VENEZUELA:  CUMANA	10.5	-64.2	160					
1839	33	7.8	MARTINIQUE		"MARTINIQUE:  FORT-DE-FRANCE, ST PIERRE; CASTRIES"	14.4	-61.1	90	390				
1839			SWITZERLAND		SWITZERLAND	45.9	6.1	120					
1839			MYANMAR (BURMA)		"MYANMAR (BURMA):  AVA, AMARAPURA"	21.9	96	60	400			3	
1839		6	CHINA		CHINA:  YUNNAN PROVINCE	26.1	99.9	30	100		600	3	
1839		6	CHINA		CHINA:  YUNNAN PROVINCE	26.1	99.9	30	129		1667	4	
1839		6.5	TAIWAN		TAIWAN: JIAYI	23.4	120.4	30	117		6600	4	
1839		7.3	JAPAN		"SE. HOKKAIDO ISLAND, JAPAN"	42.5	145	30					
1840	40		PERU		PERU:  LIMA	-12.3	-77.3	160					
1840		5.2	USA	PA	PENNSYLVANIA:  PHILADELPHIA	39.8	-75.2	150					
1840	8	4.9	SLOVENIA		BALKANS NW:  SLOVENIA:  LJUBLJANA	46.2	14.7	130					
1840			GREECE		GREECE:  ZAKINTHOS (ZANTE)	38	21	130	12				
1840		6.7	TURKEY		"TURKEY:  MT ARARAT, AGURI, ARALIKH; IRAN:  MAKU"	39.7	44.4	140	1049			4	
1840	150	7	INDONESIA		INDONESIA:  JAVA:  PURWOREJO	-8	110.5	170				3	
1840		6.5	PHILIPPINES		"PHILIPPINES:  SORSOGON,MASBATE IS,CASIGURAN,ALBAY"	12.9	123.9	170	17			3	
1840			INDONESIA		INDONESIA:  MALUKU:  TERNATE ISLAND	0.8	127.325	170				3	
1841			COSTA RICA		COSTA RICA:  CARTAGO; NICARAGUA	10	-84	100					
1841			AZORES (PORTUGAL)		AZORES:  PRAIA DA VITORIA	38.4	-25.3	130					
1841		6	INDONESIA		INDONESIA:  BANDA SEA	-4	127.5	170					
1841			INDONESIA		INDONESIA:  N. MOLUCCAS ISLANDS	-5	130	170					
1841	30	8.4	RUSSIA		RUSSIA:  OFF KAMCHATKA	52	158	50					
1842		8.1	HAITI		HAITI:  CAP-HAITIEN	19.75	-72.2	90	5000			4	
1842	100		GREECE		GREECE:  MAINA (LACONIA)	36.5	22.3	130					
1842			ETHIOPIA		ETHIOPIA:  ANKOBER	9.6	39.8	10					
1842	3	4.3	AZERBAIJAN		AZERBAIJAN:  APSCHERON PENINSULA	40.5	50	40					
1842			AFGHANISTAN		AFGHANISTAN:  JALALABAD	34.4	70.5	40	500				
1842		6	BANGLADESH		BANGLADESH:	24	89.25	60					
1842		7	CHINA		CHINA: XINJIANG PROVINCE	43.6	93	40			5460	4	
1843			CHILE		CHILE	-29.9	-71.3	160					
1843	33	8.3	GUADELOUPE		GUADELOUPE:  POINTE-A-PITRE	16.5	-62.2	90	5000				
1843			GREECE		GREECE:  CHALKI (DODECANESE)	36.3	27.5	130					
1843			IRAN		IRAN:  AZARBAIJAN:  KHVOY (KHOY)	38.3	44.6	140					
1843			IRAN		IRAN:  KHVOY (KHOY)	38.6	44.9	140	1000				
1843			INDIA		INDIA:  DECCAN	19	77	60					
1843	70	7.3	INDONESIA		SW. SUMATRA	1.5	98	170				3	
1843		6	INDONESIA		INDONESIA:  JAVA:  GENTENG ISLAND	-7.2	114	170					
1843		8.4	JAPAN		"JAPAN:  HOKKAIDO: YEZO, KUSHIRO, NEMURO"	42	146	30					
1843	33	7.5	NEW ZEALAND		NEW ZEALAND:  WANGANUI	-39.9	175	170					
1844		7.4	NICARAGUA		"NICARAGUA: RIVAS, GREYTOWN"	11.2	-84.8	100				1	
1844			NICARAGUA		NICARAGUA:  SAN JUAN DEL NORTE(GREYTOWN)	11	-84	100					
1844			USA TERRITORY	PR	PUERTO RICO:  SAN JUAN; ST THOMAS	18.3	-66.8	90					
1844			ARGENTINA		"ARGENTINA:  SALTA, JUJUY, TUCUMAN"	-25	-66	160					
1844			SAINT VINCENT AND THE GRENADINES		SAINT VINCENT:  KINGSTOWN	13.1	-61.1	90					
1844			TURKEY		"TURKEY:  OSMANCIK, ANKARA"	40.98	34.8	140	200			3	
1844		6.9	IRAN		"IRAN:  MIYANEH, GARMRUD, ESFAHAN"	37.4	48	140				4	
1844		6.4	IRAN		"IRAN:  KASHAN, QAMSAR, KAMU, KUSHIAN, CHUKA"	33.6	51.4	140	1500			3	
1845		8	MEXICO		MEXICO:  MEXICO CITY	17	-100.6	150					
1845			MEXICO		MEXICO:  OAXACA	17	-96.3	150					
1845			COLOMBIA		COLOMBIA:  MAGDALENA RIVER	11.1	-74.5	160					
1845			CHILE		CHILE	-18.5	-70.4	160					
1845	7	4.9	SLOVENIA		BALKANS NW:  SLOVENIA:  LJUBLJANA	46.1	14.5	130					
1845			TURKEY		TURKEY	39.1	26.2	140					
1845			ETHIOPIA		ETHIOPIA	12.3	39	10					
1845		6.3	INDIA		INDIA:  RANN OF KUTCH	23.583	68.367	60				1	
1845		6	TAIWAN		TAIWAN:  ZHANGHUA	24.1	120.5	30	380		4000	4	
1845		7	INDONESIA		"INDONESIA:  N SULAWESI:  MENADO, TIKALA, TOMOHON"	1.48	124.85	170	118			3	
1845			NEW ZEALAND		N. NEW ZEALAND	-39.93	175.05	170					
1846	50	7.9	PERU		PERU	-14	-76.8	160					
1846			CHILE		CHILE:  COIAPO	-27.35	-70.35	160				3	
1846	5	6.1	ITALY		"ITALY:  ORCIANO, LUCIANA"	43.4	10.6	130	56				
1846			ITALY		ITALY:  SIRACUSA (SYRACUSE)	37	15.3	130					
1846			GREECE		GREECE:  MESSINI-MICROMANI (MESSINIA)	37	22	130	30	0.8			
1846		7.5	INDIA		INDIA	26	93	60					
1846		7.3	INDONESIA		INDONESIA:  N. MOLUCCAS ISLANDS	2	126.5	170					
1846		6.9	JAPAN		"SANRIKU, JAPAN"	39.5	142.5	30					
1847			MEXICO		MEXICO:  OAXACA	17	-96.3	150					
1847			PERU		PERU:  CALLAO	-12.1	-77.1	160					
1847			CHILE		CHILE	-32.45	-71.27	160					
1847		7.3	CHILE		CHILE:  COQUIMBO	-31.61	-71.18	160				1	
1847			CHILE		CHILE:  COQUIMBO	-31.61	-71.18	160					
1847			PORTUGAL		PORTUGAL:  LISBON	38.7	-9.2	130				2	
1847			EGYPT		"EGYPT:  AL-FAYYUM, CAIRO"	29.5	30.5	15	185		4072	4	4072
1847			INDIA		INDIA:  LITTLE NICOBAR ISLAND	7.333	93.667	60					
1847			INDONESIA		INDONESIA:  JAVA:  CHERIBON	-6.67	108.55	170					
1847		7.4	JAPAN		"JAPAN:  ZENKOJI, NAGANO"	37	138	30	12000		34000	4	
1847	40	7.5	RUSSIA		RUSSIA:  KURIL ISLANDS	46	152	50					
1848		6.5	FRENCH POLYNESIA		FRENCH POLYNESIA:  TAHITI	-17.9	-149.9	170					
